Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G6	C(C=C(C(CO)=O)CO)(O)=O	CIQZUKOUHWVTCA	-15.471	C6H8O5	160.037175	-1.4881	0.197	5	3	94.83	1.7385
G6	C1C(CO)(OC(C=1C(O)=O)C)O	AXOSHVULBFVEQB	333.479	C7H10O5	174.052825	-1.2537	-0.294	5	3	86.99	1.7016
G6	C1(C(OC(C=1C(O)=O)C)O)CO	ZFZJIUMPJGLBLL	256.266	C7H10O5	174.052825	-1.0778	-0.171	5	3	86.99	1.2824
G6	C(C1(C(C(O)OC1)=CC)O)(O)=O	PMTKJAPYDRIIGR	339.606	C7H10O5	174.052825	-1.0041	-0.156	5	3	86.99	0.23869
G6	C1(C(OCC=1C(O)=O)O)C(C)O	JZMBANANZPWEDF	257.625	C7H10O5	174.052825	-1.0432	-0.171	5	3	86.99	-0.81663
G6	C(C1(C(C=CC(C)O1)O)O)(O)=O	QRANILCTAOQOPY	73.7298	C7H10O5	174.052825	-1.2773	-0.548	5	3	86.99	1.4862
G6	C(CC(C)=CC(C(O)=O)O)(O)=O	SIQCKZQCDWQEQJ	45.7014	C7H10O5	174.052825	-0.4254	-0.511	5	3	94.83	-1.2883
G6	C(C(C=CCO)CC(O)=O)(O)=O	YPRGSQDCUXRUDC	-38.1728	C7H10O5	174.052825	-0.7184	-0.439	5	3	94.83	-0.67006
G6	C(C(C(C(O)=O)=CCO)C)(O)=O	QXPPRCVMXWBIJZ	-28.5525	C7H10O5	174.052825	-0.5664	-0.293	5	3	94.83	2.4307
G6	C(C(CCC(C)O)O)(O)=O	QDKYRZRRXQKVJI	16.855	C6H12O4	148.07356	-0.5251	-0.741	4	3	77.76	-7.7305
G6	C(CCC(C(C)O)O)(O)=O	FKHCKVQMPWUKCV	19.8817	C6H12O4	148.07356	-0.5251	-0.741	4	3	77.76	-3.369
G6	C(C1(C(CC(C)O1)O)O)(O)=O	HQMVKVRSAKIRMT	419.675	C6H10O5	162.052825	-1.3439	-0.506	5	3	86.99	0.51184
G6	C(C1CC(CC1C(O)=O)O)(O)=O	RJLBLEIPNSPREJ	-53.4395	C7H10O5	174.052825	-1.1561	-0.751	5	3	94.83	-0.48941
G6	C(C(CC(C=O)O)C(C)O)(O)=O	CGQAWEXMUUIUTJ	-0.885296	C7H12O5	176.068475	-1.4458	-0.609	5	3	94.83	-4.7595
G6	C(C(CCC(O)=O)(CC)O)(O)=O	IYJLWMUFKWBHHZ	16.4489	C7H12O5	176.068475	-0.399	-0.724	5	3	94.83	-0.13346
G6	C(CCCCC(C(O)=O)O)(O)=O	LYFNCKPMTCSLBV	-9.49334	C7H12O5	176.068475	-0.3252	-0.885	5	3	94.83	-13.272
G6	C(CCC(C)C(C(O)=O)O)(O)=O	XKQGHANWZKZJAB	-3.08402	C7H12O5	176.068475	-0.5613	-0.775	5	3	94.83	1.4327
G6	C(CCC(CCC(O)=O)O)(O)=O	DVROWGNGJNDQMF	-4.71121	C7H12O5	176.068475	-0.3252	-0.885	5	3	94.83	-1.5348
G6	C(CCC(CO)CC(O)=O)(O)=O	YHFVQMWGKTWHCY	-48.8026	C7H12O5	176.068475	-0.4662	-0.667	5	3	94.83	-4.9333
G6	C(C(CC(CO)O)C(C)O)(O)=O	ZNKMVAWMZYHBFX	-3.51334	C7H14O5	178.084125	-1.2335	-0.394	5	4	97.99	-5.9187
G6	C(CC(CO)CC(C)O)(O)=O	CFQCEPMJXAKALD	-14.8829	C7H14O4	162.08921	-0.2117	-0.793	4	3	77.76	-6.9569
G6	C(CC(CO)CC(O)=O)(O)=O	IEPDKRIDROAXQP	-40.9256	C6H10O5	162.052825	-0.9206	-0.397	5	3	94.83	-3.3842
G6	C(C(CO)(CO)CC(O)=O)=O	MBTXNUOPKYSQLD	-39.138	C6H10O5	162.052825	-1.5986	-0.03	5	3	94.83	-8.6284
G6	C(C(C(O)=O)CC(C)O)(O)=O	JNNPXUQHYRMWDD	-56.3898	C6H10O5	162.052825	-1.0157	-0.505	5	3	94.83	-8.4555
G6	C(C(CC(C)O)C(C)O)(O)=O	MXPFFBNGOFCUJK	320.635	C7H14O4	162.08921	-0.3068	-0.901	4	3	77.76	-3.7288
G6	C(CC(C(C)O)CC(O)=O)(O)=O	PDLZJKZKLSVGNB	-40.8461	C7H12O5	176.068475	-0.5613	-0.775	5	3	94.83	-0.78275
G6	C(C(CO)C(C=O)CCO)(O)=O	CSMCCIJUEFJWIJ	-22.7352	C7H12O5	176.068475	-1.4917	-0.283	5	3	94.83	-5.4378
G6	C(C(CO)(CCO)CC=O)(O)=O	CGWGMGUNFBMEEC	-21.0632	C7H12O5	176.068475	-1.1442	-0.3	5	3	94.83	-8.5297
G6	C(C(CO)(C(C)O)CC(O)=O)=O	HNJROZVJMPURNY	-15.9294	C7H12O5	176.068475	-1.2393	-0.408	5	3	94.83	-7.6235
G6	C(C(CC(C)O)O)=CC(O)=O	DQPYYEDGOKDLEP	-28.6851	C7H12O4	160.07356	-0.3229	-0.783	4	3	77.76	-2.0915
G6	C(C(C)(CCO)O)=CC(O)=O	LRHGJACTCVKPNM	-26.2539	C7H12O4	160.07356	-0.3016	-0.514	4	3	77.76	-0.99522
G6	C(CC(C=CC(O)=O)O)(O)=O	ZIGLPUXQLPZXKH	-61.7134	C6H8O5	160.037175	-1.0318	-0.387	5	3	94.83	2.028
G6	C(CC(C=CC(O)=O)(C)O)(O)=O	CJDRPHMPJYOUMK	-49.0451	C7H10O5	174.052825	-0.6512	-0.496	5	3	94.83	2.1133
G6	C(C(CC=CC(O)=O)O)(O)=O	WYDUSDFMTJXRBF	9.4668	C6H8O5	160.037175	-1.0318	-0.387	5	3	94.83	-0.54975
G6	C(C(C(C(C)O)O)O)=CC(O)=O	CIZPETIZPXACAV	510.266	C7H12O5	176.068475	-1.3447	-0.384	5	4	97.99	0.30556
G6	C(C(C)(C(CO)O)O)=CC(O)=O	KJIKRIIZUIREJY	23.6078	C7H12O5	176.068475	-1.3234	-0.115	5	4	97.99	3.2906
G6	C(C1(C(C(CC1O)O)O)O)=O	KTMZJGYSSGDOQI	90.7028	C6H10O5	162.052825	-2.5394	-0.101	5	4	97.99	-1.9574
G6	C(C)(C1(C(C(CC1O)O)O)O)=O	KLQNQABKLRJZIQ	90.2145	C7H12O5	176.068475	-1.999	-0.315	5	4	97.99	1.5353
G6	C(C1(C=O)CC(C(C1O)O)O)=O	HZKNDTZADVIPHP	27.7424	C7H10O5	174.052825	-2.5235	-0.436	5	3	94.83	-3.4579
G6	C(C1(C(C=CC1(CO)O)O)O)=O	YGYZZYQYEANLDH	90.9885	C7H10O5	174.052825	-2.5914	0.126	5	4	97.99	-2.4188
G6	C1C(C(C(C=1)=O)(C(CO)O)O)O	DMDUWZIIIQCLJY	84.9959	C7H10O5	174.052825	-2.1741	0.021	5	4	97.99	1.2457
G6	C(C1(C(C=C(CO)C1O)O)O)=O	DFOBTJFRFDJVIS	45.7869	C7H10O5	174.052825	-2.4492	0.111	5	4	97.99	-2.1067
G6	C(C1(CO)C(C(CC1O)O)O)=O	CLFJFRFDJBSQHF	164.312	C7H12O5	176.068475	-2.3112	-0.221	5	4	97.99	-2.5744
G6	C(C1(C(CC(CC1O)O)O)O)=O	FJLWJXNWDIOKEH	567.6	C7H12O5	176.068475	-2.1974	-0.371	5	4	97.99	-1.7431
G6	C1(C(CO)(C(CC1(C)O)O)O)=O	CLLVCGADNVGDBL	423.446	C7H12O5	176.068475	-1.8854	-0.046	5	4	97.99	2.3903
G6	C(C1C(C(CC1O)O)O)(O)=O	RFYCFEVMMQEUIF	4.94659	C6H10O5	162.052825	-1.8533	-0.318	5	4	97.99	0.1685
G6	C1(CC(CC(C1(CO)O)O)O)=O	JZIHBICLKUFNKN	73.0679	C7H12O5	176.068475	-1.8414	-0.207	5	4	97.99	1.7367
G6	C1C(C(C(C=1)=O)(C(C)O)O)O	GDESBMOKZGQOMT	413.172	C7H10O4	158.05791	-1.2474	-0.486	4	3	77.76	1.2633
G6	C(C1(C(C(C)(CC1O)O)O)O)=O	KGTBLHOIAOBEPS	94.105	C7H12O5	176.068475	-2.2414	-0.21	5	4	97.99	0.22764
G6	C(C1(CO)CC(CC1O)O)(O)=O	WEPBAKKTJILWDD	-4.24921	C7H12O5	176.068475	-1.5964	-0.387	5	4	97.99	-3.4203
G6	C(C1(C)C(C(CC1O)O)O)(O)=O	GOMAALYSNRDZLH	349.366	C7H12O5	176.068475	-1.5218	-0.495	5	4	97.99	1.0114
G6	C(C1(C(C=CC1O)=O)O)(O)=O	DMNNUHBMASOZTA	315.319	C6H6O5	158.021525	-1.9563	-0.09	5	3	94.83	1.1873
G6	C1C(C(C(C=1)=O)(CO)O)O	NCKMZWFKQTWDTD	68.6684	C6H8O4	144.04226	-1.6067	-0.108	4	3	77.76	1.3756
G6	C(C1(CO)C(CC(C1O)=O)O)=O	ZCHSSWHWGCWFBO	21.443	C7H10O5	174.052825	-2.1675	-0.272	5	3	94.83	-1.0919
G6	C(C1(C(C(C=CC1O)=O)O)O)=O	BMCROJMWCSECNX	73.9743	C7H8O5	172.037175	-2.3291	-0.194	5	3	94.83	-0.7575
G6	C(C(C1(C(C=CC1O)=O)O)O)=O	PZVXTNWUNKNMCZ	77.7819	C7H8O5	172.037175	-2.3864	-0.194	5	3	94.83	-0.82094
G6	C1(C(CO)(C(CC1C)O)O)=O	QCQPCBPHEKWPND	80.2356	C7H12O4	160.07356	-1.062	-0.496	4	3	77.76	1.8757
G6	C(C1(C(C(C)CC1O)O)O)=O	UGRIKIRDRUAOLT	79.5825	C7H12O4	160.07356	-1.418	-0.66	4	3	77.76	-0.7645
