Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL	Heteroatoms/Carbons	VDW Volume	H/C	O/C
G6	C(C(C(C=O)=CC(CO)O)O)=O	LTEJFAGLZBOEOX	174.05282342	C7H10O5	7	10	5	-2.0993	-0.071	5	3	94.83	-2.5242	5	0.5916756861283502	0.7142857142857143	160.43	1.4285714285714286	0.7142857142857143
G6	C(C(C=C(C=O)C(CO)O)O)=O	PACVHNRUSHSOCO	174.05282342	C7H10O5	7	10	5	-2.0993	-0.071	5	3	94.83	-2.5242	5	0.5916756861283502	0.7142857142857143	161.31	1.4285714285714286	0.7142857142857143
G6	C(C(C(C(C=O)=CCO)O)O)=O	IEAMGJXJNMNYBW	174.05282342	C7H10O5	7	10	5	-2.0993	-0.071	5	3	94.83	-2.5127	5	0.5916756861283502	0.7142857142857143	161.12	1.4285714285714286	0.7142857142857143
G6	C(CO)=C(C=O)C(CO)(CO)O	PAIHDLUSOHKCQQ	176.068473484	C7H12O5	7	12	5	-1.8657	0.413	5	4	97.99	-3.5891	5	0.7303852546541193	0.7142857142857143	166.5	1.7142857142857142	0.7142857142857143
G6	C(C(C=CC(CO)(CO)O)O)=O	FFHIBEPSELQSQM	176.068473484	C7H12O5	7	12	5	-2.1128	0.159	5	4	97.99	-4.3425	5	0.7315719329778646	0.7142857142857143	167.01	1.7142857142857142	0.7142857142857143
G6	C(CO)(CC=C(CO)CO)=O	YOHHUHGOGDDRAF	160.073558864	C7H12O4	7	12	4	-0.6841	-0.091	4	3	77.76	-3.7771	4	0.072869965401959	0.5714285714285714	161.8	1.7142857142857142	0.5714285714285714
G6	C(C(CO)CO)=CC(CO)=O	QGSZKCIPSVHYAL	160.073558864	C7H12O4	7	12	4	-1.0722	-0.127	4	3	77.76	-0.65183	4	0.1797451819342827	0.5714285714285714	158.54	1.7142857142857142	0.5714285714285714
G6	C(C)(C(C=C(CO)CO)O)=O	TVCZGJUEIUZUHX	160.073558864	C7H12O4	7	12	4	-0.7792	-0.199	4	3	77.76	-0.99051	4	0.0706050981597461	0.5714285714285714	160.87	1.7142857142857142	0.5714285714285714
G6	C(CO)(C(CO)O)=CC(C=O)=O	ZFSFLFXNGGPTTP	174.05282342	C7H10O5	7	10	5	-1.9182	0.093	5	3	94.83	-1.6655	5	0.5904890078046049	0.7142857142857143	164.16	1.4285714285714286	0.7142857142857143
G6	C(CO)(C(CO)O)=CC(CO)=O	BUVCEQACWORJIE	176.068473484	C7H12O5	7	12	5	-1.7059	0.308	5	4	97.99	1.3372	5	0.7303852546541189	0.7142857142857143	169.92	1.7142857142857142	0.7142857142857143
G6	C=C(CO)C(C(C(CO)=O)=O)O	IBEWTPAXEPQZLH	174.05282342	C7H10O5	7	10	5	-1.7655	-0.018	5	3	94.83	-5.7557	5	0.5904890078046049	0.7142857142857143	164.35	1.4285714285714286	0.7142857142857143
G6	C(C(CO)=CC(CO)=O)(CO)=O	BYHQLPAOWGHYBD	174.05282342	C7H10O5	7	10	5	-1.7371	0.257	5	3	94.83	1.7745	5	0.5893023294808596	0.7142857142857143	161.6	1.4285714285714286	0.7142857142857143
G6	C(CO)=CC(C(C(CO)O)=O)=O	BAXUDISKZMVBPU	174.05282342	C7H10O5	7	10	5	-1.9842	0.003	5	3	94.83	-3.0075	5	0.5904890078046049	0.7142857142857143	157.23	1.4285714285714286	0.7142857142857143
G6	C(C(C(C(C(CO)O)=O)=C)O)=O	TXGXLWKDHHXLCV	174.05282342	C7H10O5	7	10	5	-1.9466	-0.182	5	3	94.83	-6.3603	5	0.5916756861283502	0.7142857142857143	160.24	1.4285714285714286	0.7142857142857143
G6	C(C(C(C(C(CO)=C)O)=O)O)=O	CVPZHDQFIKDJIR	174.05282342	C7H10O5	7	10	5	-1.9466	-0.182	5	3	94.83	-4.978	5	0.5916756861283502	0.7142857142857143	163.4	1.4285714285714286	0.7142857142857143
G6	C(C(C=CC(CO)=O)(CO)O)=O	RRADNGBQFCKXCM	174.05282342	C7H10O5	7	10	5	-2.144	0.108	5	3	94.83	-1.0193	5	0.5904890078046047	0.7142857142857143	159.46	1.4285714285714286	0.7142857142857143
G6	C(C(CO)O)=CC(C(CO)=O)=O	GCYWSOWZQHCQKA	174.05282342	C7H10O5	7	10	5	-1.9842	0.003	5	3	94.83	-2.4835	5	0.5904890078046049	0.7142857142857143	163.44	1.4285714285714286	0.7142857142857143
G6	C(C(CO)O)=C(C(O)=O)C(C)=O	NURRGEJLTSSGSA	174.05282342	C7H10O5	7	10	5	-1.1288	-0.181	5	3	94.83	-1.5528	5	-0.0903333584342967	0.7142857142857143	159.64	1.4285714285714286	0.7142857142857143
G6	C(CC(C=CC(CO)O)=O)(O)=O	SAFNSJWONPQHEH	174.05282342	C7H10O5	7	10	5	-1.2808	-0.327	5	3	94.83	-4.4115	5	-0.0868818128683387	0.7142857142857143	161.63	1.4285714285714286	0.7142857142857143
G6	C(C(CO)O)=C(C(C)=O)CO	RVALAEFXXZQLTH	160.073558864	C7H12O4	7	12	4	-0.7792	-0.199	4	3	77.76	0.2065	4	0.0706050981597463	0.5714285714285714	159.98	1.7142857142857142	0.5714285714285714
G6	C=C(C(C)=O)C(C(CO)O)O	UHKDVDXBUPVRBJ	160.073558864	C7H12O4	7	12	4	-0.8076	-0.474	4	3	77.76	-4.5312	4	0.071791776483492	0.5714285714285714	158.47	1.7142857142857142	0.5714285714285714
G6	C(C(CO)O)=CC(CCO)=O	ZBEYTIDADXGUPK	160.073558864	C7H12O4	7	12	4	-0.9312	-0.345	4	3	77.76	-1.3975	4	0.0740566437257043	0.5714285714285714	161.68	1.7142857142857142	0.5714285714285714
G6	C(C(CO)O)=CC(CO)=O	JRGCJZUUVRTGIZ	146.0579088	C6H10O4	6	10	4	-1.3856	-0.075	4	3	77.76	0.88548	4	0.4527050686909596	0.6666666666666666	140.56	1.6666666666666667	0.6666666666666666
G6	C(C(CO)O)=C(C(C(O)=O)=O)C	YKWKGDNVCLKQRK	174.05282342	C7H10O5	7	10	5	-1.1288	-0.181	5	3	94.83	-6.4971	5	-0.0903333584342967	0.7142857142857143	158.52	1.4285714285714286	0.7142857142857143
G6	C(C(CO)O)=CC(C(C)O)=O	PUDCJGUTVTUHNG	160.073558864	C7H12O4	7	12	4	-1.0263	-0.453	4	3	77.76	-0.51353	4	0.0717917764834916	0.5714285714285714	155.79	1.7142857142857142	0.5714285714285714
G6	C(C(CO)O)=C(C(CO)=O)C	FVZUBGQTPLVLLF	160.073558864	C7H12O4	7	12	4	-0.7792	-0.199	4	3	77.76	0.69593	4	0.0706050981597463	0.5714285714285714	157.62	1.7142857142857142	0.5714285714285714
G6	C(C(CO)O)=C(C=O)CCO	QKDRVELLLIWOSL	160.073558864	C7H12O4	7	12	4	-0.8652	-0.255	4	3	77.76	-5.6136	4	0.0740566437257045	0.5714285714285714	163.46	1.7142857142857142	0.5714285714285714
G6	C(C(C(C(C=O)O)=C)(C)O)(O)=O	FXAATKWBMRDXHJ	174.05282342	C7H10O5	7	10	5	-1.317	-0.351	5	3	94.83	-2.9907	5	-0.0891466801105516	0.7142857142857143	159.75	1.4285714285714286	0.7142857142857143
G6	C(C(C(C=CCO)=O)(C)O)(O)=O	JADQQISSPWJGLD	174.05282342	C7H10O5	7	10	5	-1.3546	-0.166	5	3	94.83	1.7073	5	-0.0903333584342969	0.7142857142857143	161.37	1.4285714285714286	0.7142857142857143
G6	C(C(C(C(C)O)=CC(O)=O)O)=O	RWUIKPJMHWAUQI	174.05282342	C7H10O5	7	10	5	-1.3099	-0.345	5	3	94.83	-2.6097	5	-0.0891466801105514	0.7142857142857143	157.98	1.4285714285714286	0.7142857142857143
G6	C(CO)=C(C(C(C)O)=O)C(O)=O	JZOFKLGIDCVDAP	174.05282342	C7H10O5	7	10	5	-1.1288	-0.181	5	3	94.83	-0.96852	5	-0.0903333584342967	0.7142857142857143	161.66	1.4285714285714286	0.7142857142857143
G6	C(C(C(C(C=O)O)=CC)O)(O)=O	UPWNAWXQDQCSEF	174.05282342	C7H10O5	7	10	5	-1.3099	-0.345	5	3	94.83	-2.8915	5	-0.0891466801105514	0.7142857142857143	157.05	1.4285714285714286	0.7142857142857143
G6	C(C(C(C(C)=CCO)=O)O)(O)=O	XRRTXROCWXZBAC	174.05282342	C7H10O5	7	10	5	-1.1288	-0.181	5	3	94.83	0.41886	5	-0.0903333584342967	0.7142857142857143	158.77	1.4285714285714286	0.7142857142857143
G6	C(C(C=CC(C(CO)O)=O)O)=O	PECKTJPRIPKDII	174.05282342	C7H10O5	7	10	5	-2.1653	-0.161	5	3	94.83	-1.1894	5	0.5916756861283502	0.7142857142857143	159.22	1.4285714285714286	0.7142857142857143
