Generation	Canonical Code
G2	6e4d8e7b24cd2805
G2	70d956d4633c5cb6
G2	70e72cb22707c2f6
G2	70f6142c88b73f5b
G2	711564ab3f119854
G2	71806999eb78af3f
G2	718147ae49b8bdef
G2	72dbdb0e70e88db
G2	73d810937a330f0a
G2	74ab7b163a0c2019
G2	78fcfc2b84339ee5
G2	7a982f544bc5d6eb
G2	7d1b9a58c0230295
G2	7e5081dac9f2b7bf
G2	7f4521fe39998ce4
G2	827e63320e0ab835
G2	836c3dfe5ec11b0d
G2	8758c8a93a8d1188
G2	8829593a68391509
G2	88a29de7236a8c79
G2	8eeb69a8a19e0197
G2	8f7019857b840f46
G2	90072831434ae6a6
G2	90778772076ab1ae
G2	925ffb95da376655
G2	9368b55f5ee55c1f
G2	969a9303c7238e8e
G2	98e35733dab398ad
G2	9ba6e60f81088c8a
G2	9bd05f01bc4e908f
G2	9d0ff8daf2dcc958
G2	9d54ba6c1a382843
G2	9e2eb002db0da741
G2	9f51e77db3955e0d
G2	a0c865baa161b348
G2	a1e58acbf418ba25
G2	a2559c9466560577
G2	a3d06d7f776832b3
G2	a502c3d64caa330a
G2	a88aeb80cad06516
G2	aa34c1bec6c57a5b
G2	ae33b853f73cf8a5
G2	b08cf45042e12119
G2	b2dea113c6e819c1
G2	b3f99ef5b5de4b5e
G2	b5d296bad22dacb8
G2	b7a3634cf6fb5e9f
G2	b9c3e93dc4d11772
G2	bb154446c0432099
G2	bb202fa64bfc0235
G2	bcc6dbc8016b40e3
G2	bfee8c1913fef43e
G2	bffa52b1f364b5d4
G2	c1815b856bb411fc
G2	c1848cd90164f242
G2	c3315c771564bacd
G2	c481dffa6e555784
G2	c5d661bfac351843
G2	c8af80ebff2d6a04
G2	ca6f542c8c03a704
G2	ceb9cc04712d11e
G2	d082bdd83e607093
G2	d14ba1d01b20fd69
G2	d20179335a25573f
G2	d2ac8681729ea4d2
G2	d40db75561bb261d
G2	d5b413a6ef96729
G2	d65db6f3321cb344
G2	d758cc6d927b0653
G2	d7675ca283a3e30d
G2	d8a6d7b1d8ff559e
G2	d99ef86156d395d
G2	d9f84ba384e13c95
G2	da2d184143cf7829
G2	dd5f8e3364216882
G2	e10382b4c899912c
G2	e138935207df508
G2	e2a57449d96a74c1
G2	e31dab6376c57a47
G2	e424cfc20f1e0de2
G2	e509178714f66e18
G2	e58099cb02787c73
G2	e5b94ba94eda3906
G2	e8f064fd0100c47e
