Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	SKCKOFZKJLZSFA	CC(C(C(C(CO)O)O)O)O	166.084123548	C6H14O5	6	14	5.0	-2.2191	0.039	5	5	101.15	-0.80532
G4	MLMZDKFLNSRHDV	CC(CO)(C(C(CO)O)O)O	166.084123548	C6H14O5	6	14	5.0	-2.1978	0.308	5	5	101.15	-2.0855
G4	FJGNTEKSQVNVTJ	CC(C(C(CO)O)O)O	136.073558864	C5H12O4	5	12	4.0	-1.6517	-0.09	4	4	80.92	-1.2411
G4	SRBFZHDQGSBBOR	C1C(C(C(C(O)O1)O)O)O	150.05282342	C5H10O5	5	10	5.0	-2.0188	0.122	5	4	90.15	-5.0602
G4	JKVPEWHXKZYBEW	C(C1(C(C(CCO1)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0414	-0.232	5	3	86.99	-1.8633
G4	WZYRMLAWNVOIEX	C(C(C1C(C(CO1)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.5399	-0.15	5	3	86.99	-5.8374
G4	DBEWZTILPFOERE	C1(C(C(CC1(CO)N)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.5812	-0.013	5	4	103.78	-4.169
G4	LOKNVMBSHYFMIC	C(C(C(C(CCN)O)O)O)=O	163.084457896	C6H13NO4	6	13	4.0	-2.7341	-0.144	5	4	103.78	-2.3515
G4	XOEOPEYULUQGFN	C(C(C(C(C(C)N)O)O)O)=O	163.084457896	C6H13NO4	6	13	4.0	-2.8292	-0.252	5	4	103.78	-1.3579
G4	FAHMSMCMZKDIFM	C=C(C(C(CO)O)O)N	133.073893212	C5H11NO3	5	11	3.0	-1.3799	-0.435	4	4	86.71	-2.7717
G4	MHGMBRBPBZPUAD	C=CC(C(CO)O)O	118.06299418	C5H10O3	5	10	3.0	-0.8154	-0.428	3	3	60.69	-5.4947
G4	IVWUOJJXIHLHOB	C(C(CO)O)=CCO	118.06299418	C5H10O3	5	10	3.0	-0.787	-0.153	3	3	60.69	-1.2535
G4	NCILFPDDYYSCIZ	C(C(CO)O)=C(CO)N	133.073893212	C5H11NO3	5	11	3.0	-1.3515	-0.16	4	4	86.71	-1.8125
G4	DPFZGKKWIQELNR	C(CO)(C(C(C)N)O)=O	133.073893212	C5H11NO3	5	11	3.0	-2.0807	-0.217	4	3	83.55	2.3756
G4	YUTRFPUDDMXUPG	C(CC(C(CO)O)N)=O	133.073893212	C5H11NO3	5	11	3.0	-2.1667	-0.273	4	3	83.55	-1.9795
G4	BOKLLZAOIOGFMU	C(CO)(CC(CC(CO)=O)N)=O	175.084457896	C7H13NO4	7	13	4.0	-2.1298	-0.301	5	3	100.62	-2.9731
G4	PSTRDJDCYMWENE	C(C)(C(C(CC(CO)=O)N)O)=O	175.084457896	C7H13NO4	7	13	4.0	-2.2249	-0.409	5	3	100.62	-0.91878
G4	FIHRQIKLNMTVPH	C(C)(C(C(C(C(C)=O)O)N)O)=O	175.084457896	C7H13NO4	7	13	4.0	-2.32	-0.517	5	3	100.62	1.1493
G4	OXWJSZZCZLPYOQ	C(C(CO)O)(CC(C)N)=O	147.089543276	C6H13NO3	6	13	3.0	-1.6263	-0.487	4	3	83.55	0.74101
G4	HAVFTIZKLYNDLR	C(CO)(C(C(C)N)C(C=O)O)=O	175.084457896	C7H13NO4	7	13	4.0	-2.547	-0.355	5	3	100.62	-0.90891
G4	JAANAITUQSGNRJ	C(CC(C=O)O)(C(C(C)N)O)=O	175.084457896	C7H13NO4	7	13	4.0	-2.406	-0.573	5	3	100.62	-0.69476
G4	FOFFIDZUYXNOTE	C(C(C=CC(C(CN)O)=O)O)=O	173.068807832	C7H11NO4	7	11	4.0	-2.5631	-0.237	5	3	100.62	-1.1149
G4	YJMZJQDIKNWQQQ	C(C(C(C)N)O)(CCO)=O	147.089543276	C6H13NO3	6	13	3.0	-1.6263	-0.487	4	3	83.55	-0.062776
G4	YQYMRHNNDKUTDD	C(CO)(C(CO)C(C)N)=O	147.089543276	C6H13NO3	6	13	3.0	-1.7673	-0.269	4	3	83.55	1.2458
G4	QNECBNAULDXILW	C(C(C(C=O)O)O)(CC(C)N)=O	175.084457896	C7H13NO4	7	13	4.0	-2.406	-0.573	5	3	100.62	-1.4411
G4	XFHJRHOSNTXPOB	C(C(CC(CC(CO)=O)N)O)=O	175.084457896	C7H13NO4	7	13	4.0	-2.3109	-0.465	5	3	100.62	-5.66
G4	KZGLLTFSFYSDPN	C(C(CC(C(C(C)=O)O)N)O)=O	175.084457896	C7H13NO4	7	13	4.0	-2.406	-0.573	5	3	100.62	-1.5822
G4	UGYQKNIXBSUEBP	C(C(C(CO)C(CO)N)=O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.9063	0.023	5	3	100.62	-5.742
G4	KDXAOIPOVDIBKA	C(CO)(C(CO)C(CO)N)=O	163.084457896	C6H13NO4	6	13	4.0	-2.694	0.238	5	4	103.78	-2.6012
G4	HADZRTRUKRUXGW	C(C(C(CO)N)C(C=O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-3.0874	-0.141	5	3	100.62	-6.2248
G4	DPPHOLQOMWFXNR	C1(C(CN)OC(CC1O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.0228	-0.275	5	3	92.78	1.7558
G4	BFNLQXNOZCYJSM	C1(C(CCOC(C1O)N)O)=O	161.068807832	C6H11NO4	6	11	4.0	-1.9309	-0.275	5	3	92.78	1.2868
G4	SMLHVLBTPOASKU	C1(C(CCO)OC(C1O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-1.9104	-0.275	5	3	92.78	-0.42143
G4	INSLACNTUGQOFH	C(C1C(CC(C(O1)O)O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.3788	-0.439	5	3	92.78	-1.7343
G4	RUAOCEJLIRNUTJ	C1(C(C)OC(C(C1O)N)O)=O	161.068807832	C6H11NO4	6	11	4.0	-1.9482	-0.383	5	3	92.78	1.875
G4	ZPTJTPLCVVHIPV	C12CC(C(C(C1O)O)(O)O2)O	162.05282342	C6H10O5	6	10	5.0	-2.065	-0.319	5	4	90.15	-2.7177
G4	GYPBCGBWVBGJBM	C1C2(C(C(CC2O)(O)O1)O)O	162.05282342	C6H10O5	6	10	5.0	-2.0917	-0.05	5	4	90.15	0.84472
