Generation	Inchi	Smiles
G2	CCNHXUOYTNIIJI	C(C(C(CC(CO)=O)N)O)=O
G2	MEFFHISDEHXYIV	C(C(C(C(C(C)=O)O)N)O)=O
G2	XEBRCGAKPBATGG	C(CC(C(C(C=O)O)N)O)=O
G2	KXMAOQJMLAAVJY	C(C(C(CO)N)O)=O
G2	ISGLIVNHDPLUFG	C(CO)(C(C(C(CO)O)N)O)=O
G2	KTLZNQVCIYBNIW	C(CN)(C(C(C(CO)O)N)O)=O
G2	CFIPTNRUUCHLRU	C(C(CC(C(CO)O)N)=O)=O
G2	OGOOLELVTMLOGV	C(CC(C(C(CO)N)O)=O)=O
G2	CWKBVHWILPQTCU	C(C(C(CC(CO)N)=O)O)=O
G2	NFNWRWYCUZAEON	C(CC(C=O)N)(C(CO)O)=O
G2	FDTPCSIZIQTINL	C(CC(C=O)O)(C(CN)O)=O
G2	RBDNNFSBBBQPHT	C(C(C(C(CCO)=O)O)N)=O
G2	YFKHBAKJIYEAQE	C(C(C(C=O)O)O)(CCN)=O
G2	ZROWQRUORDMNAS	C(CC(C(C(C=O)O)O)N)=O
G2	BCFSSHCZTMDDSA	C(C1C(C(C(CN)(O)O1)O)O)O
G2	KKEUNLQCVNSTTP	C(C(C1C(C(C(O)O1)O)N)O)O
G2	IXZISFNWUWKBOM	C1C(C(C(C(CN)(O)O1)O)O)O
G2	BQCCAEOLPYCBAE	C(C1C(C(C(C(O)O1)O)N)O)O
G2	PIXGAXWTOCUWQG	C1C(C(C(C(C(O)O1)O)N)O)O
G3	SLBWSONHNKBIMR	C1(C(C(C(C1)O)O)O)=O
G3	DDAFIEJZOHGAHJ	C1(C(C(C(CC1O)O)O)O)=O
G3	PMAODVYIDXXALG	C1(C(C(C(C1)O)(CO)O)O)=O
G3	ZMGSZYMAJOOYKF	C1(C(CC(CO)(C1O)O)O)=O
G3	UHQNRQMTZAQCBL	C1(C(C(C(CO)(C1)O)O)O)=O
G3	QCSROUGOTJEQJK	C1(C(C(C(C)(C1O)O)O)O)=O
G3	DNWNZFQXCIWUSQ	C1(C(C(CC(C1O)O)O)O)=O
G3	QNCJVABCUQWVEA	C1(C(C(C(CC1N)O)O)O)=O
G3	IVFIKRYAKGDUCF	C1(C(C(C(C1)O)(CN)O)O)=O
G3	RWTXOXXIKYSSBT	C1(C(CC(CO)(C1N)O)O)=O
G3	XOHJPJMWGWTVTN	C1(C(C(C(CN)(C1)O)O)O)=O
G3	HNNHXMONWFMOCV	C1(C(C(C(C)(C1N)O)O)O)=O
G3	WWIBEYKNDORSPC	C1(C(C(CC(C1N)O)O)O)=O
G3	BJSQKFGBCNITIV	C1(C(C(C(C1CO)O)O)N)=O
G3	WAKARUXQIXQJOH	C1(C(C(C(C(C1)O)O)O)N)=O
G3	FSUGCKMUTGKWIE	C1(C(C(C(C(C1)N)O)O)O)=O
G3	CLCXFWFNEQXJJE	C1(C(C(C(C(C1)O)O)N)O)=O
G3	LDPWTVIHCCDZGC	C(C1C(C(C(C1O)O)N)O)=O
G3	UDGPTYYVDNKAPG	C1C(C(C(C(C=1)=O)O)O)O
G3	XVMNUQMYEWNJFV	C1(C(C(C(C1CO)O)N)O)=O
G3	OUBOXMCKEXJYDL	C1(C(C(C(C1CN)O)O)O)=O
G3	GMVRUGGDQSSAAL	C(C1C(C(C(C1N)O)O)O)=O
G3	HCDKHGUYCIRFGC	C(C(C)(C(C(CO)=O)O)O)=O
G3	GBYNVYGBOCCFCK	C(C(CC(CO)(CO)O)=O)=O
G3	XIIKTJZKWRJKSI	C(C(C(C(CO)=O)O)O)=O
G3	HFVQLJMYXMMRQM	C(CO)(C(C(CO)(C)O)O)=O
G3	SUYWWIOIVQEMNS	C(CO)(CC(CO)(CO)O)=O
G3	RBBKOZMUCUHIQM	C(C)(C(C(CO)(CO)O)O)=O
G3	MRKRITSFTIHTAQ	C(CO)(C(C(C)O)O)=O
G3	RLJYTLNHFAJLAE	C(CC(CO)(CO)O)=O
G3	NSKJHRGIUMZEHF	C(CO)(C(C(CN)O)O)=O
G3	ZSXYDPAMQLXZSJ	C(C(C(CO)(CO)O)N)=O
G3	ASJSAQIRZKANQN	C(CC(C(CO)O)O)=O
G3	RNZJRDIKDNXKIJ	C(C(C(C(CO)O)O)N)=O
G3	QZRMXSVZXCRGAO	C(CO)(C(C(C(C)=O)O)N)=O
G3	MSKONFCVYLNJPN	C(C(C)(C(C(CO)=O)N)O)=O
G3	FHYSZSPWXQFGGH	C(C(C)(C(C(CN)=O)O)O)=O
G3	OMPVMQXVAIVXEY	C(C(CC(CO)(CN)O)=O)=O
G3	QWVSJAOISGILAV	C(C(C(C(CO)=O)N)O)=O
G3	YRBZBJHRIGQRSX	C(C(C(C(CN)=O)O)O)=O
