Generation	Test Smiles	Library Smiles	Canonical Code
G4	C(C(CN)N)N	C(C(CN)N([H])[H])N	1f0ac6423cee0b2c
G4	C(CNC(CN)CN)=O	C(=O)CN[C@H](CN([H])[H])CN	775cfb3c9a8822af
G4	C(C(CO)(C(CN)(CN)O)O)O	C([C@@](CO)(C(CN)(CN)O)O)O[H]	8cd13c3a4508ecc1
G4	C(C(CO)(CN)N)O	C(C(CO)(CO)N)N([H])[H]	4892a1f744d106aa
G4	C(CC(CO)(CO)N)=O	C(=O)C[C@@](CO[H])(CO)N	f4d67411d2e5c610
G4	C(CNCCCO)(CN)=O	C(=O)(CN)CNCCCO[H]	ed403e1482e543bf
G4	C(CO)(CNCCCO)=O	C(=O)(CNCCCO[H])CO	4500269f72a4cc
G4	C(CNCCC(O)=O)(CN)=O	C(=O)(CN([H])[H])CNCCC(=O)O	d420506efb719bd8
G4	C(CNCC(N)=C)(CN)=O	C=C(CNCC(=O)CN)N([H])[H]	75bb699034f26e2d
G4	C(CNCCCN)(CN)=O	C(=O)(CN)CNCCCN([H])[H]	9eabc77919dff715
G4	C(CCNCC(CO)=O)(O)=O	C(=O)(CO[H])CNCCC(=O)O	bf1b890d8fa52b73
G4	C(CO)(CNCC(N)=C)=O	C=C(CNCC(=O)CO)N([H])[H]	e133ad3b1ca4faca
G4	C(CO)(CNCCCN)=O	C(=O)(CNCCCN([H])[H])CO	6708a0adcbdc89e4
G4	C(CNCCNCCO)=O	C(=O)CNCCNCCO[H]	5d052f217df5d49c
G4	C(CNCCNCC(O)=O)=O	C(=O)CNCCNCC(=O)O[H]	6b3269cc6e759c76
G4	C(CNCC(CO)(CO)N)=O	C(=O)CNC[C@](CO[H])(CO)N	9309cd8e6de246db
