Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	C(C1C(C(C(C)(C1O)O)O)=O)=O	DMLHUZOIIHWSRY	50.4512	C7H10O5	174.052825	-2.1264	-0.312	5	3	94.83	0.24133
G4	C(CC1(C(C(C(C1)=O)O)O)O)=O	AEPUFZVZGQIGAD	77.3564	C7H10O5	174.052825	-1.9413	-0.422	5	3	94.83	-0.63515
G4	C(C1(CC(C(C(C1)=O)O)O)O)=O	IACPYHVNAFOEMI	446.425	C7H10O5	174.052825	-2.0537	-0.422	5	3	94.83	-1.8764
G4	C1(CC(C(CC(C1O)O)=O)O)=O	ZVWQVMHJCGGFNL	58.1	C7H10O5	174.052825	-1.5791	-0.527	5	3	94.83	1.4703
G4	C1(C(CC(C(C=O)O)(C1)O)O)=O	MTTDGNKGKZLDMW	72.1662	C7H10O5	174.052825	-2.111	-0.422	5	3	94.83	-0.70887
G4	C1(C(CC(C1CO)O)O)=O	ABOBCDUIJRUDLU	23.5761	C6H10O4	146.05791	-1.36	-0.387	4	3	77.76	0.85549
G4	C(C1C(C(CC1O)O)O)=O	PPSMBMYANALASS	28.3772	C6H10O4	146.05791	-1.716	-0.551	4	3	77.76	-2.4416
G4	C1(C(C(CC(C1)O)O)O)=O	CZMTWXOIKCDEOJ	38.8472	C6H10O4	146.05791	-1.2127	-0.605	4	3	77.76	1.461
G4	C1(C(C(C(C1)O)O)O)=O	SLBWSONHNKBIMR	58.6043	C5H8O4	132.04226	-1.5547	-0.335	4	3	77.76	1.5676
G4	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB	53.457	C6H10O5	162.052825	-2.2121	0.012	5	4	97.99	0.4365
G4	C(C1C(C(C(C1O)O)O)O)=O	FWWLBYLLLIZJAL	58.6087	C6H10O5	162.052825	-2.5681	-0.152	5	4	97.99	-2.9812
G4	C1(C(C(C(C(C1)O)O)O)O)=O	GZYCZKBRQBKGJW	615.844	C6H10O5	162.052825	-2.0648	-0.206	5	4	97.99	1.6461
G4	C(C1(C(CC(C1O)O)=O)O)=O	BESORNCBPBQUNJ	62.704	C6H8O5	160.037175	-2.3957	-0.152	5	3	94.83	-0.66444
G4	C(C1(C(CC(CC1O)O)=O)O)=O	VMPQVEHWYPATEV	461.881	C7H10O5	174.052825	-2.0537	-0.422	5	3	94.83	-0.48292
G4	C(C1(C(CC(C1(C)O)O)=O)O)=O	LCIIHXCGCVESHD	427.826	C7H10O5	174.052825	-2.0977	-0.261	5	3	94.83	1.5553
G4	C(C1(C(CC(C)(C1O)O)=O)O)=O	KSZUGYGHDUSROW	428.808	C7H10O5	174.052825	-2.0977	-0.261	5	3	94.83	0.80088
G4	C(C)(C1(C(CC(C1O)=O)O)O)=O	MSDMGYIETYMHLU	70.5608	C7H10O5	174.052825	-1.8553	-0.366	5	3	94.83	2.369
G4	C(C1(C(C)(CC(C1O)=O)O)O)=O	STPPOUBRBMQYGG	408.514	C7H10O5	174.052825	-2.0977	-0.261	5	3	94.83	0.78667
G4	C1(C(C(C(C1)O)(CO)O)O)=O	PMAODVYIDXXALG	83.1299	C6H10O5	162.052825	-2.1834	0.063	5	4	97.99	1.5117
G4	C(C1C(CC(C1(C=O)O)O)O)=O	KYUCBVBJBRGXTD	43.57	C7H10O5	174.052825	-2.557	-0.368	5	3	94.83	-1.9048
G4	C(C1C(C(C=O)(CC1O)O)O)=O	UDDWZBFOJNIHRA	48.9942	C7H10O5	174.052825	-2.557	-0.368	5	3	94.83	-2.8874
G4	C(CC1(C(CC(C1O)=O)O)O)=O	QIUPYVIYSDJWEC	58.5498	C7H10O5	174.052825	-1.9413	-0.422	5	3	94.83	-0.45103
G4	C(C(C(C)O)C(CCO)O)=O	PYSZIFWAJDKTNW	10.4566	C7H14O4	162.08921	-1.0962	-0.627	4	3	77.76	-5.0049
G4	C(C(CO)C(CC(C)O)O)=O	RVQGVBCPLPOHQI	10.1331	C7H14O4	162.08921	-1.0962	-0.627	4	3	77.76	-5.5798
G4	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI	38.0979	C7H12O5	176.068475	-2.1492	-0.279	5	3	94.83	-2.0815
G4	C(C(C(C)O)C(C=O)(CO)O)=O	FDSHEHPBHWGLQY	38.2913	C7H12O5	176.068475	-2.309	-0.174	5	3	94.83	-3.6203
G4	C(C(C(C(CC(C)O)O)O)=O)=O	RLPBKLOISADAAA	75.5071	C7H12O5	176.068475	-2.0082	-0.497	5	3	94.83	-4.7044
G4	C(C(C(C)O)C(C)(CO)O)=O	FNSKUBCTEJJSJL	39.3391	C7H14O4	162.08921	-1.17	-0.466	4	3	77.76	-6.3816
G4	C(CO)(CC(CC(C)O)O)=O	PQZBLBSEVOBJHW	28.1268	C7H14O4	162.08921	-0.7741	-0.681	4	3	77.76	-4.8451
G4	C(C)(C(C(CC(C)O)O)O)=O	UNRKTQDKLHASOU	1366.08	C7H14O4	162.08921	-0.8692	-0.789	4	3	77.76	-2.1852
G4	C(C(C(C)O)C(C(O)=O)O)=O	IXOGFMSUHFVHSY	-2.30198	C6H10O5	162.052825	-1.9002	-0.339	5	3	94.83	-2.8135
G4	C(C(C(CC(O)=O)O)C(C)O)=O	YTCZJXDURLPWNQ	-14.8095	C7H12O5	176.068475	-1.4458	-0.609	5	3	94.83	-2.1314
G4	C(C(C=O)C(CC(C)O)O)(O)=O	IHSFWOVWMRACIR	-27.1468	C7H12O5	176.068475	-1.4458	-0.609	5	3	94.83	-5.0935
G4	C(C(C(C)O)C(C(O)=O)(C)O)=O	MGQBJYDCWJLMCR	14.2987	C7H12O5	176.068475	-1.5196	-0.448	5	3	94.83	-1.6703
G4	C(C(CC(CC(C)O)O)=O)(O)=O	CLJFVEVVBOUFBJ	22.6194	C7H12O5	176.068475	-1.1237	-0.663	5	3	94.83	-11.846
G4	C(C(CO)C(C(C=O)CO)O)=O	IYYLKFUCXKZORG	12.9663	C7H12O5	176.068475	-2.3762	-0.117	5	3	94.83	-3.2142
G4	C(C(CO)C(CC(CO)=O)O)=O	XHDKYHQSMXPUQR	24.8016	C7H12O5	176.068475	-2.0541	-0.171	5	3	94.83	-3.7228
G4	C(C(CO)C(C(C(C)=O)O)O)=O	WWPRLPATMGJTHC	45.7938	C7H12O5	176.068475	-2.1492	-0.279	5	3	94.83	-1.8128
