Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G5	C(C(C(CO)O)C(C=O)CO)=O	USGOXNYULVZURB	176.068473484	C7H12O5	7	12	5	-2.3762	-0.117	5	3	94.83	-3.2038
G5	C(C(CO)(C(CO)O)CC=O)=O	IXURHLHYRAVOMO	176.068473484	C7H12O5	7	12	5	-2.0287	-0.134	5	3	94.83	-6.9994
G5	C(C(CCC(CO)O)=O)(O)=O	FYBWNLNWZMONGV	162.05282342	C6H10O5	6	10	5	-1.483	-0.285	5	3	94.83	-14.804
G5	C(CCC(CO)O)(O)=O	XMWHJMODTBOXDX	134.0579088	C5H10O4	5	10	4	-0.8844	-0.363	4	3	77.76	-6.1348
G5	C(C(C(C)=O)CC(CO)O)(O)=O	VBGGWTPFOBXVOE	176.068473484	C7H12O5	7	12	5	-1.2647	-0.445	5	3	94.83	-7.1677
G5	C(CCC(CO)C(C)O)(O)=O	GQBIPSXGSLQPGH	162.089208928	C7H14O4	7	14	4	-0.2117	-0.793	4	3	77.76	-5.8255
G5	C(CCC(CC(C)O)O)(O)=O	BEWZSKALIYBOOI	162.089208928	C7H14O4	7	14	4	-0.0707	-1.011	4	3	77.76	-4.6296
G5	C(CCCC(CCO)O)(O)=O	BKNXJNCJBLDDRC	162.089208928	C7H14O4	7	14	4	0.0244	-0.903	4	3	77.76	-6.8842
G5	C(CCC(C)(CCO)O)(O)=O	HBLOLWFRKNENOS	162.089208928	C7H14O4	7	14	4	-0.0494	-0.742	4	3	77.76	-3.614
G5	C(C(CCC(O)=O)CO)(O)=O	XPQIPNORJZZYPV	162.05282342	C6H10O5	6	10	5	-0.9206	-0.397	5	3	94.83	-5.4691
G5	C(CCC(CC(O)=O)O)(O)=O	YVOMYDHIQVMMTA	162.05282342	C6H10O5	6	10	5	-0.7796	-0.615	5	3	94.83	-0.3415
G5	C(CCC(C(CO)=O)O)(O)=O	UWQSXGTYMVGXEU	162.05282342	C6H10O5	6	10	5	-1.483	-0.285	5	3	94.83	0.49176
G5	C(C(CCC(O)=O)C(C)O)(O)=O	NQQSJUJAINDLJI	176.068473484	C7H12O5	7	12	5	-0.5613	-0.775	5	3	94.83	-2.9086
G5	C(CCCC(CC(O)=O)O)(O)=O	LUQDBMUJZYJYMT	176.068473484	C7H12O5	7	12	5	-0.3252	-0.885	5	3	94.83	-3.8638
G5	C(CCC(C)(CC(O)=O)O)(O)=O	QXQCMPXJNDJPII	176.068473484	C7H12O5	7	12	5	-0.399	-0.724	5	3	94.83	-0.28481
G5	C(CCCC(C(C(O)=O)O)O)=O	LTJIULFQDNBLDI	176.068473484	C7H12O5	7	12	5	-1.2097	-0.719	5	3	94.83	-5.0633
G5	C(CCC(C)(C(C(O)=O)O)O)=O	NHUIPZYESYXBMF	176.068473484	C7H12O5	7	12	5	-1.2835	-0.558	5	3	94.83	0.97344
G5	C(C(CCC=O)(C(C)O)O)(O)=O	OJWYSSAHOCVIKP	176.068473484	C7H12O5	7	12	5	-1.2835	-0.558	5	3	94.83	-2.9377
G5	C(CCCC(C(O)=O)O)(O)=O	OTTXIFWBPRRYOG	162.05282342	C6H10O5	6	10	5	-0.7796	-0.615	5	3	94.83	-6.7323
G5	C(C(C)(CCC(O)=O)O)(O)=O	UPFLHEPDBWWJBM	162.05282342	C6H10O5	6	10	5	-0.8534	-0.454	5	3	94.83	0.43196
G5	C(CCC(CO)(C(C)O)O)=O	SAHZLCRUGFXABX	162.089208928	C7H14O4	7	14	4	-0.9339	-0.576	4	3	77.76	-6.6718
G5	C(CCC(C(C(C)O)O)O)=O	YYSBJSCSZCVNDZ	162.089208928	C7H14O4	7	14	4	-0.9552	-0.845	4	3	77.76	-5.1825
G5	C(CCCC(C(CO)O)O)=O	IPVNEXUOBXTHPO	162.089208928	C7H14O4	7	14	4	-0.8601	-0.737	4	3	77.76	-6.8729
G5	C(CCC(C)(C(CO)O)O)=O	DTDUPUQFIDEDIQ	162.089208928	C7H14O4	7	14	4	-0.9339	-0.576	4	3	77.76	-0.62207
G5	C(CCC(CO)(C(C)O)O)(O)=O	JAIHEPCVRJWNES	178.084123548	C7H14O5	7	14	5	-1.0712	-0.343	5	4	97.99	-4.7349
G5	C(CCC(C(C(C)O)O)O)(O)=O	FYKOCEIOQOGBCM	178.084123548	C7H14O5	7	14	5	-1.0925	-0.612	5	4	97.99	-3.1831
G5	C(CCCC(C(CO)O)O)(O)=O	AKGMFVVQMGQGBO	178.084123548	C7H14O5	7	14	5	-0.9974	-0.504	5	4	97.99	-6.2807
G5	C(CCC(C)(C(CO)O)O)(O)=O	ZBTMKTQITNXUPJ	178.084123548	C7H14O5	7	14	5	-1.0712	-0.343	5	4	97.99	1.5272
G5	C(C(C(CC=CC=O)O)O)(O)=O	IHXXXMCJECGCTE	174.05282342	C7H10O5	7	10	5	-1.4619	-0.491	5	3	94.83	-3.3398
G5	C(C(C(C=CC=O)(C)O)O)(O)=O	VNWRIIHPWAUXSA	174.05282342	C7H10O5	7	10	5	-1.5357	-0.33	5	3	94.83	0.17703
G5	C(C(C=CC=O)(C(C)O)O)(O)=O	UINPECQXLPEGHZ	174.05282342	C7H10O5	7	10	5	-1.5357	-0.33	5	3	94.83	-2.7744
G5	C(C(CO)(C(C)O)O)=CC=O	JNLLUVNPHZDXFF	160.073558864	C7H12O4	7	12	4	-1.1861	-0.348	4	3	77.76	-4.4773
G5	C(C(C(C(C)O)O)O)=CC=O	SSECBPJKBISFFS	160.073558864	C7H12O4	7	12	4	-1.2074	-0.617	4	3	77.76	-4.6455
G5	C(CC(C(CO)O)O)=CC=O	YSSQWYDFTKRBJB	160.073558864	C7H12O4	7	12	4	-1.1123	-0.509	4	3	77.76	-5.1118
G5	C(C(C)(C(CO)O)O)=CC=O	JVYPKPWHJINSQJ	160.073558864	C7H12O4	7	12	4	-1.1861	-0.348	4	3	77.76	-1.4499
G5	C(C(C(C=CC=O)O)O)(O)=O	MPOXKJPJDPYCBO	160.037173356	C6H8O5	6	8	5	-1.9163	-0.221	5	3	94.83	-2.5452
G5	C(C(C=CC=O)(CO)O)(O)=O	ALPCBSFUTWVXAR	160.037173356	C6H8O5	6	8	5	-1.895	0.048	5	3	94.83	-2.8978
G5	C(C(CO)O)=CC(C(O)=O)=O	VLFRVDIMPKLKEE	160.037173356	C6H8O5	6	8	5	-1.7352	-0.057	5	3	94.83	-6.7859
G5	C(C(C(CO)O)=CC=O)(O)=O	YAUOBZLKYKSHCW	160.037173356	C6H8O5	6	8	5	-1.6692	0.033	5	3	94.83	-3.0561
G5	C(C=C(C=O)C(CO)O)(O)=O	OJIBVKZOBXJSEX	160.037173356	C6H8O5	6	8	5	-1.6692	0.033	5	3	94.83	-1.8783
G6	C1(C(C2C(C1C(C2O)O)O)=O)=O	VRFYFSPZKLOXNT	172.037173356	C7H8O5	7	8	5	-2.0177	-0.393	5	3	94.83	-4.2525
G6	C1(C2(CC(C1C(C2)O)O)O)=O	FWMBCMIBSLCFIN	158.0579088	C7H10O4	7	10	4	-1.2806	-0.69	4	3	77.76	1.3595
G6	C1(C2(C(C(C1C(C2)O)O)O)O)=O	WRKGJJWLKMFHJJ	174.05282342	C7H10O5	7	10	5	-2.1327	-0.291	5	4	97.99	1.1765
G6	C1(C(C(C(C1)O)C(C=O)O)O)=O	IRXAXBQTRSAYJV	174.05282342	C7H10O5	7	10	5	-2.1397	-0.473	5	3	94.83	-0.8959
G6	C(C1C(C(CC(C1O)=O)O)O)=O	GMRKEEHCNPHRFK	174.05282342	C7H10O5	7	10	5	-2.0824	-0.473	5	3	94.83	-1.0707
