Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G3	C(C(C(CO)=O)C(CO)O)=O	SSUDYWNAIOLNKR	162.05282342	C6H10O5	6	10	5	-2.5085	0.099	5	3	94.83	-1.6738
G3	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-1.8329
G3	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	162.05282342	C6H10O5	6	10	5	-2.4626	-0.227	5	3	94.83	-1.4318
G3	C(C(C(C)(C(C=O)O)O)O)=O	LTIXNERYDWMFRC	162.05282342	C6H10O5	6	10	5	-2.6224	-0.122	5	3	94.83	-0.55603
G3	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-5.4242
G3	C(C(CCO)O)(O)=O	UFYGCFHQAXXBCF	120.042258736	C4H8O4	4	8	4	-1.3388	-0.093	4	3	77.76	-2.4724
G3	C(C(C(C(CO)O)O)=O)=O	VDSAQEDKJUSZPS	148.037173356	C5H8O5	5	8	5	-2.8219	0.151	5	3	94.83	-2.2896
G3	C(C(C(C(CO)O)O)O)O	HEBKCHPVOIAQTA	152.068473484	C5H12O5	5	12	5	-2.5784	0.417	5	5	101.15	-0.73911
G3	C(C(CO)(CO)O)O	HXYJZJOQRLOUPP	122.0579088	C4H10O4	4	10	4	-1.9897	0.557	4	4	80.92	-4.2829
G3	C(C(CO)(C(CO)O)O)O	SDXWEZQDLHNYFR	152.068473484	C5H12O5	5	12	5	-2.5571	0.686	5	5	101.15	-2.033
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	136.037173356	C4H8O5	4	8	5	-2.3393	0.575	5	4	97.99	-0.8415
G3	C(CO)(C(CO)(C(C)O)O)=O	CLUAZGGJJOMMPW	164.068473484	C6H12O5	6	12	5	-2.229	0.257	5	4	97.99	1.4137
G3	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	150.05282342	C5H10O5	5	10	5	-1.98	0.197	5	4	97.99	0.77366
G3	C(C(CO)(C(C=O)O)O)=O	YAVWISVERGTOHY	148.037173356	C5H8O5	5	8	5	-2.9817	0.256	5	3	94.83	-2.7559
G3	C(C(CO)(C(CC=O)O)O)=O	KMZKNPYVLFCBJR	162.05282342	C6H10O5	6	10	5	-2.5273	-0.014	5	3	94.83	-2.1049
G3	C(C(CO)(C(C=O)(C)O)O)=O	LLKJMSOIEJAFOF	162.05282342	C6H10O5	6	10	5	-2.6011	0.147	5	3	94.83	-2.4059
G3	C(C(CO)(C(C(C)=O)O)O)=O	KSPZMTWVXVIPRP	162.05282342	C6H10O5	6	10	5	-2.4413	0.042	5	3	94.83	-1.4805
G3	C(C(CO)(C(C)O)O)=O	JQKDKERJPQSZLX	134.0579088	C5H10O4	5	10	4	-1.8427	-0.036	4	3	77.76	-3.2406
G3	C(C(C(CO)O)(C(C)O)O)=O	DXBKAMXGCDVWGR	164.068473484	C6H12O5	6	12	5	-2.4101	0.093	5	4	97.99	-2.8644
G3	C(CO)(C(CO)(CO)O)=O	KNWXMEXZFWGIPP	150.05282342	C5H10O5	5	10	5	-2.5883	0.635	5	4	97.99	0.20087
G3	C(C(C(C)=O)(C(CO)O)O)=O	UZMKAOBHDMJGHD	162.05282342	C6H10O5	6	10	5	-2.4413	0.042	5	3	94.83	-1.3297
G3	C(C(C(C=O)O)O)(O)=O	JYPFTOPPKDHQEW	134.021523292	C4H6O5	4	6	5	-2.5729	0.091	5	3	94.83	-1.2721
G3	C(CC(C(C(O)=O)O)O)=O	WNQQMTOQQGYXCH	148.037173356	C5H8O5	5	8	5	-2.1185	-0.179	5	3	94.83	-0.6535
G3	C(C(C)(C(C(O)=O)O)O)=O	AZFXWNDHXWNFRE	148.037173356	C5H8O5	5	8	5	-2.1923	-0.018	5	3	94.83	-0.56246
G3	C(C(C(C(C)=O)O)O)(O)=O	HDGNQJMIIPXNJZ	148.037173356	C5H8O5	5	8	5	-2.0325	-0.123	5	3	94.83	1.8724
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	120.042258736	C4H8O4	4	8	4	-1.4339	-0.201	4	3	77.76	0.18323
G3	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ	162.05282342	C6H10O5	6	10	5	-2.5273	-0.014	5	3	94.83	-3.3059
