Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(C(C(CO)(CO)O)N)=O	ZSXYDPAMQLXZSJ	[]	[]
G3	C(CO)(C(C(CN)O)O)=O	NSKJHRGIUMZEHF	[-66.33]	[['575_0', '10_0', '39_0', '5_0']]
G3	C(C(C(CO)(C(CO)O)O)N)=O	BSZQLDXZWYISLD	[]	[]
G3	C(C(C(CN)O)O)(C(CO)O)=O	ZEUGDKYVUVLZTO	[-50.1]	[['579_0', '10_0', '41_0', '7_0']]
G3	C(C(C(CN)(CO)O)N)=O	ASMJPAWXLLYEGB	[]	[]
G3	C(CN)(C(C(CN)O)O)=O	VZZJVRSIHGEVPT	[-84.66999999999999]	[['593_0', '10_0', '47_0', '5_0']]
G3	C(CO)(C(C(CN)O)N)=O	UBYNXIGHTJSTMH	[]	[]
G3	C(C(C(CN)(C(CO)O)O)N)=O	LTJICWLEGLOXNN	[]	[]
G3	C(C(CO)O)(C(C(CN)O)N)=O	OHFDQMUPUZOXSD	[]	[]
G3	C(C(C(CNCC=O)O)N)=O	QJTNNTOOOXBQFZ	[]	[]
G3	C(C(C(CN)O)NCC=O)=O	YLEVJUSOCIAMDO	[]	[]
G3	C(C(C(C(CO)(CO)O)O)N)=O	IPEVWGCBOFEPDL	[]	[]
G3	C(C(CCO)(C(C=O)N)O)=O	ODILWJGXAOWKPR	[]	[]
G3	C(C(C(C(CCO)=O)O)N)=O	RBDNNFSBBBQPHT	[]	[]
G3	C(C(C(CO)C(CN)O)=O)=O	KAYFMIAIBMIIQD	[-82.38]	[['621_0', '10_0', '90_0', '7_0']]
G3	C(CC(C(C(C=O)N)O)O)=O	YBOLBHFYGABWMJ	[-80.38]	[['623_0', '10_0', '92_0', '7_0']]
G3	C(C(C(CC(C=O)O)O)N)=O	AHGCTZMUBPZLOK	[-80.38]	[['625_0', '10_0', '92_0', '7_0']]
G3	C(C(C(CN)O)C(C=O)O)=O	RWMSZEVIXBQAJL	[-80.38]	[['627_0', '10_0', '92_0', '7_0']]
G3	C(C(C(CC(CO)=O)O)N)=O	VNBYXOQOCGWZFJ	[]	[]
G3	C(CC(CO)(C(C=O)N)O)=O	WKIWQZKYQRMNFP	[]	[]
G3	C(C(C(CO)=O)C(CN)O)=O	DCWPTWSYZMWKIL	[-82.38]	[['1798_0', '69_0', '7_0', '10_0']]
G3	C(CC(C(C(CN)O)O)=O)=O	VMCCARNNUOIRPT	[-101.94000000000001]	[['635_0', '10_0', '94_0', '7_0']]
G3	C(C(C(C(C(C)=O)O)O)N)=O	URYGCMBOMHUVKQ	[]	[]
G3	C(C(C(C)(C(C=O)O)O)N)=O	RFTGWPCIEOLYOI	[]	[]
G3	C(C(C(CC(CN)O)=O)O)=O	ZMEILYOCLSHQDN	[-146.07]	[['641_0', '10_0', '96_0', '7_0']]
G3	C(C(C(C(CN)O)O)N)=O	BZWJDVIAXBESMP	[-75.94]	[['653_0', '10_0', '104_0', '5_0']]
G3	C(C(C(C(C(CO)N)O)O)N)=O	YNGPNKGOVIJJPV	[-52.980000000000004]	[['655_0', '10_0', '106_0', '7_0']]
G3	C(C(CO)O)(C(CO)O)=O	WXYXERHRDKEISL	[-47.99]	[['658_0', '41_0', '7_0']]
G3	C(CNC(C(CO)=O)CO)=O	BLFFPJTYWVTAHQ	[]	[]
G3	C(C(CO)NCC(CO)=O)=O	RECPPMRZTCHEQB	[]	[]
G3	C(CO)(C(CO)N)=O	MTPLMYSUTMBRKU	[-75.83]	[['670_0', '47_0', '5_0']]
G3	C(C(CO)O)(C(CO)N)=O	YHKGTFSEJPIKDQ	[]	[]
G3	C(C(CO)NCC(C=O)O)=O	DKKPLPKHWBBOFN	[]	[]
G3	C(C(C(C(C(CN)O)N)O)O)=O	GMTVWYIYSJHFTN	[]	[]
G3	C(C(C(C(CO)N)O)O)=O	YECZZWUIAXEARY	[-57.6]	[['697_0', '25_0', '10_0']]
G3	C(C(C(C(C(CN)O)O)O)O)=O	HDXVFGYNQCBFKD	[-48.099999999999994]	[['699_0', '31_0', '10_0']]
G3	C(C(C(C(C(CO)O)N)O)O)=O	RQRVMSIARGXSFL	[-41.37]	[['701_0', '33_0', '10_0']]
G3	C(C(C(CO)(CO)O)O)=O	AVGPOAXYRRIZMM	[-43.349999999999994]	[['705_0', '39_0', '5_0']]
G3	C(CO)(C(C(CO)O)O)=O	ZAQJHHRNXZUBTE	[-47.989999999999995]	[['707_0', '39_0', '5_0']]
G3	C(C(C(CO)(CN)O)O)=O	CMOZXEKFRDIDCA	[-61.69]	[['723_0', '47_0', '5_0']]
G3	C(CN)(C(C(CO)O)O)=O	ZGPHAZHLWWSPMV	[-66.33]	[['725_0', '47_0', '5_0']]
