Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(CC(CO)(C(CO)O)O)=O	IDBTYBMNHBMAOU	[-279.90999999999997]	[['855_0', '1225_0', '80_0', '186_0', '39_0', '11_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C(C)O)O)(C(CO)O)=O	IWASYLACXSGJPG	[-288.94]	[['857_0', '1225_0', '80_0', '186_0', '39_0', '11_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C(CO)(CO)O)O)=O	AVGPOAXYRRIZMM	[-141.2]	[['1008_0', '71_0', '1178_0', '23_0', '107_0', '25_0']]
G3	C(CO)(C(C(CO)O)O)=O	ZAQJHHRNXZUBTE	[-145.83999999999997]	[['1010_0', '71_0', '1178_0', '23_0', '107_0', '25_0']]
G3	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	[]	[]
G3	C(CC(CO)(C(C=O)O)O)=O	IEHDXMKHICIRFU	[-333.06999999999994]	[['1020_0', '71_0', '157_0', '23_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C(CO)=O)C(CO)O)=O	SSUDYWNAIOLNKR	[-330.98999999999995]	[['2196_0', '154_0', '71_0', '39_0', '23_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C(C)(C(C=O)O)O)O)=O	LTIXNERYDWMFRC	[]	[]
G3	C(C(C(C)(C(CO)O)O)O)=O	VTPHIABIXGEURA	[-354.72999999999996]	[['1030_0', '71_0', '2123_0', '23_0', '111_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(CCO)(C(C=O)O)O)=O	FAGPJBHKKUOQAR	[-333.06999999999994]	[['1042_0', '71_0', '156_0', '23_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C(CO)C(CO)O)=O)=O	JOEMRRCMXVASPX	[-330.9799999999999]	[['1044_0', '71_0', '156_0', '23_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C(CO)(CCO)O)O)=O	PDHFWRCDNWXIRJ	[-350.3399999999999, -350.3399999999999, -350.3399999999999]	[['1046_0', '71_0', '1441_0', '23_0', '157_0', '39_0', '71_0', '71_0', '23_0', '23_0'], ['1046_0', '71_0', '1447_0', '23_0', '156_0', '39_0', '71_0', '71_0', '23_0', '23_0'], ['1046_0', '71_0', '2124_0', '23_0', '111_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(CO)(C(CO)C(CO)O)=O	GNQPJPMTQHCZDA	[-348.2499999999999, -348.2499999999999, -348.24999999999994]	[['1049_0', '71_0', '1441_0', '23_0', '157_0', '39_0', '71_0', '71_0', '23_0', '23_0'], ['1049_0', '71_0', '1447_0', '23_0', '156_0', '39_0', '71_0', '71_0', '23_0', '23_0'], ['1049_0', '71_0', '2124_0', '23_0', '111_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C(C(C=O)O)O)O)=O	CGIVHSMOEAEFQI	[]	[]
G3	C(C(C(CO)(C)O)O)=O	HTPZSALIZDTBIL	[-194.35999999999999]	[['1058_0', '71_0', '70_0', '23_0', '21_0']]
G3	C(CO)(CC(CO)O)=O	KKLZOXZZESQNKR	[-194.60999999999999]	[['1060_0', '71_0', '70_0', '23_0', '21_0']]
G3	C(C)(C(C(CO)O)O)=O	IGUZJYCAXLYZEE	[-199.0]	[['1062_0', '71_0', '70_0', '23_0', '21_0']]
G3	C(C(C(CO)O)C(C=O)O)=O	HIPAGLNATSXMFT	[-328.9799999999999]	[['1066_0', '71_0', '159_0', '23_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(CCO)O)(O)=O	UFYGCFHQAXXBCF	[-250.63]	[['1102_0', '156_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(CC(C(O)=O)O)(CCO)=O	KUSWJOPOFIZCSN	[-97.28999999999999]	[['1108_0', '180_0', '11_0']]
G3	C(C(CCC(CO)=O)O)(O)=O	ICELZWMGQRGTFX	[-97.28999999999999]	[['1110_0', '182_0', '11_0']]
G3	C(C(CC(C(C)=O)O)O)(O)=O	LZWYDLFSHVJXCF	[-101.68]	[['1112_0', '184_0', '11_0']]
G3	C(CC(CC(C(O)=O)O)O)=O	SLLURUDMWUFLKC	[-95.28999999999999]	[['1114_0', '186_0', '11_0']]
G3	C(C(CCO)(CC=O)O)(O)=O	FWTFAZWTXINKAL	[-92.65]	[['1116_0', '188_0', '13_0']]
G3	C(C(C)(CC(C=O)O)O)(O)=O	PUJKYDSEIJLNGJ	[-97.03]	[['1118_0', '200_0', '17_0']]
G3	C(C(C=CC(CO)O)O)(O)=O	PEPJGLGUVINFJT	[-56.709999999999994]	[['1120_0', '256_0', '11_0']]
G3	C(C(CC(CO)=O)O)(O)=O	YVXXPGROVYTBAL	[]	[]
G3	C(C(C(C(C)=O)O)O)(O)=O	HDGNQJMIIPXNJZ	[-206.51, -206.51]	[['1547_0', '1013_0', '71_0', '1223_0', '23_0', '186_0', '11_0'], ['1547_0', '1013_1', '71_0', '1223_0', '23_0', '186_0', '11_0']]
G3	C(C(C(C=O)O)O)(O)=O	JYPFTOPPKDHQEW	[]	[]
G3	C(C)(C(CO)(C(C=O)O)O)=O	VPNBLFIVNKFHGY	[]	[]
G3	C1(C(C(C(CO)C1O)O)O)=O	QJEBIWGZDFAUAU	[-129.28]	[['1287_0', '33_0', '19_0']]
G3	C(C(C(CO)O)=O)(CCO)=O	SABLHQLUOCAHMV	[-43.01]	[['1324_0', '95_0', '19_0']]
G3	C(C(CO)=O)(C(CCO)O)=O	GYSCUAORHOFYBL	[-43.01]	[['1326_0', '95_0', '19_0']]
G3	C(C(C(C(CCO)O)O)=O)=O	OUJNZICMUOLQGP	[-41.01]	[['1329_0', '97_0', '19_0']]
G3	C(C(CO)O)(C(C(C)=O)O)=O	TXOVMBDXFHTOKH	[-47.4]	[['1338_0', '103_0', '23_0']]
G3	C(C(C)O)(C(C(CO)=O)O)=O	PLFONWSYZWJLGP	[-47.4]	[['1340_0', '103_0', '23_0']]
G3	C(C(C(C(C(C)O)O)=O)O)=O	BHIQKDNSGQRBRS	[-45.4]	[['1343_0', '105_0', '23_0']]
G3	C(C(CC(C(CO)O)O)O)=O	KDSPLKNONIUZSZ	[-352.9799999999999]	[['1459_0', '1064_0', '71_0', '159_0', '23_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(CCO)O)(C(CO)O)=O	DWRCPJZTWDRHQM	[-58.28]	[['1350_0', '115_0', '13_0']]
G3	C(CO)(C(CC(CO)O)O)=O	UQZTYCQHZBCWQZ	[-58.28]	[['1352_0', '118_0', '17_0']]
G3	C(C(C(CO)O)O)(C(C)O)=O	UCLAXLMTPFNPGE	[-62.67]	[['1354_0', '122_0', '23_0']]
G3	C(CO)(C(C(CCO)O)O)=O	XHRNJZRZXZGBMY	[-58.28]	[['1356_0', '126_0', '25_0']]
G3	C1(C(C(CO)O)OCC1O)=O	QOJKBNZXYZFGLT	[-53.14]	[['1393_0', '218_0', '27_0']]
G3	C1(C(CC(C(CO)O)O1)O)=O	NSEFGBGANVMEIR	[-67.33]	[['1395_0', '220_0', '27_0']]
G3	C1(C(C(CO)OCC1O)O)=O	TWOSIGGTFLLPLQ	[-55.839999999999996]	[['1397_0', '230_0', '29_0']]
G3	C1(C(CC(C(CO)O1)O)O)=O	GTGDSXQRKKKXQC	[-70.03]	[['1399_0', '232_0', '29_0']]
G3	C1(C(CO)OC(CC1O)O)=O	SFZJIWQYYLRQLK	[-55.839999999999996]	[['1401_0', '234_0', '29_0']]
G3	C1(C(O)OC(CO)CC1O)=O	YEVOKMDALIJSDL	[-55.839999999999996]	[['1403_0', '236_0', '29_0']]
G3	C1(C(C(COCC1O)O)O)=O	PWBXJGMQCOHUAQ	[-58.699999999999996]	[['1405_0', '242_0', '31_0']]
G3	C1(C(CC(C(CO1)O)O)O)=O	GEROFWUZHDVEDM	[-72.89]	[['1407_0', '244_0', '31_0']]
