SMILES tag	Canonical Code
C\1(=C\O[H])/[C@H](C[C@H](CO)O[C@H]1O)O	1005361eeb017c5a
[C@@H]1([C@@H]([C@@H]([C@H](CO)O[C@@H]1O)O)O[H])C	100559b154e438b2
[C@@H]1([C@@H]([C@@H]([C@H](CO)O[C@@H]1O)O[H])O)C	100559b154e438b2
[C@@H]1([C@@H]([C@@H]([C@H](CO)O[C@@H]1O[H])O)O)C	100559b154e438b2
[C@@H]1([C@@H]([C@@H]([C@H](CO[H])O[C@@H]1O)O)O)C	100559b154e438b2
C1=C([C@H]([C@H]([C@H](OC1)O)O)N([H])[H])C	10055cca42f0d615
C(=O)[C@@H]([C@@H]([C@@H](CO)[C@@H](C)O)N([H])[H])O	10055d0f10282db
C1(=C)[C@H](C[C@@H]([C@]1(CO)O)O)O[H]	10056571e7dfdcc8
C1(=C)[C@H](C[C@@H]([C@]1(CO)O)O[H])O	10056571e7dfdcc8
C1(=C)[C@H](C[C@@H]([C@]1(CO)O[H])O)O	10056571e7dfdcc8
C1(=C)[C@H](C[C@@H]([C@]1(CO[H])O)O)O	10056571e7dfdcc8
C=C([C@@]1(COCC[C@@H]1O)O)N([H])[H]	10056721e1585ae8
C1=C[C@@H](O[C@@H](C(=O)O)[C@H]1CO)N([H])[H]	10056b6ef565aa9a
C(=O)[C@@H]1[C@H]([C@H](OC[C@@H]1O)N([H])[H])CO	10056d063a326fd1
C(=O)([C@@]1(CO[C@H](C[C@H]1C)N([H])[H])O)O	10058375d24a2e38
C1[C@@H]([C@H]([C@@H]([C@H](O1)O)C)O)CO[H]	1005cf242108601a
C1[C@@H]([C@H]([C@@H]([C@H](O1)O)C)O[H])CO	1005cf242108601a
C1[C@@H]([C@H]([C@@H]([C@H](O1)O[H])C)O)CO	1005cf242108601a
C(=O)([C@H]1[C@@H](CC[C@@]1(OC)O[H])O)O	1005cf26f140fe06
C(=C(\C(=O)O)/C)/[C@@H]([C@@H](OC)O[H])O	1005d0f3cc052715
C(=O)[C@@H]([C@@]1([C@H](CO[C@@H]1N([H])[H])C)O)O	1005e2a49c794fa4
