Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	DWGCZUPQLPBMMR	C(C1(CC(O)OC1CO)O)O	164.068473484	C6H12O5	6	12	5.0	-1.8873	0.121	5	4	90.15	-4.0374
G4	URIHWVABFGZJJB	C(CN)(C1C(CC(O1)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.255	-0.275	5	3	92.78	-0.064789
G4	QFYWCUDWRPHYAQ	C(C1C(O)OCC1(CN)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.5528	0.048	5	3	92.78	-2.0928
G4	XWBDTJFTKCWEKS	C1(C(O)OC(CO)(CN)C1)=O	161.068807832	C6H11NO4	6	11	4.0	-2.1414	-0.006	5	3	92.78	-3.781
G4	WRVCSFXBOVGPSE	C1C(CN)(CC(O)O1)O	133.073893212	C5H11NO3	5	11	3.0	-1.6831	-0.084	4	3	75.71	0.34722
G4	ADOCKUXZFKESII	C1(CC(CN)(C(CO)O1)O)O	163.084457896	C6H13NO4	6	13	4.0	-2.2851	0.045	5	4	95.94	-0.88064
G4	IBIGERKPHGAXTQ	C(C1(CO)C(CC(O)O1)O)O	164.068473484	C6H12O5	6	12	5.0	-1.8873	0.121	5	4	90.15	-2.7309
G4	CYHFAXDSLCWKQZ	C(C1C(O)OC(C1O)CN)=O	161.068807832	C6H11NO4	6	11	4.0	-2.5261	-0.221	5	3	92.78	-2.2909
G4	UQVLSRYHZKRWLS	C1(C(O)OC(C(CN)O)C1)=O	161.068807832	C6H11NO4	6	11	4.0	-2.0801	-0.275	5	3	92.78	-0.17495
G4	ASPSFUQCFCXNBB	C1(CC(C(CN)O1)O)O	133.073893212	C5H11NO3	5	11	3.0	-1.6564	-0.353	4	3	75.71	-0.57267
G4	GVJGWERMMPSWMR	C(C(C1C(CC(O)O1)O)N)O	163.084457896	C6H13NO4	6	13	4.0	-2.2238	-0.224	5	4	95.94	-4.1309
