Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(C(CC(CO)(CN)O)=O)=O	OMPVMQXVAIVXEY	[-46.36]	[['621_0', '55_0', '57_0', '9_0', '14_0']]
G3	C(C(C(C(CO)=O)N)O)=O	QWVSJAOISGILAV	[-21.09]	[['645_0', '55_0', '64_0', '9_0', '20_0']]
G3	C(C(C(C(CN)=O)O)O)=O	YRBZBJHRIGQRSX	[-55.39]	[['647_0', '55_0', '64_0', '9_0', '20_0']]
G3	C(CO)(C(CO)N)=O	MTPLMYSUTMBRKU	[-44.269999999999996]	[['655_0', '55_0', '67_0', '9_0', '20_0']]
G3	C(C(C(C(C(CO)=O)N)O)O)=O	KNOUFBKOXYAYMR	[-21.090000000000007]	[['676_0', '55_0', '77_0', '9_0', '24_0']]
G3	C(C(C(C(C(CN)=O)O)O)O)=O	MUKWJBJGFIVKQV	[-55.39]	[['678_0', '55_0', '77_0', '9_0', '24_0']]
G3	C(CO)(C(C(CO)(C)O)N)=O	TXOGIXKACKDTHB	[-78.03999999999999]	[['680_0', '55_0', '77_0', '9_0', '24_0']]
G3	C(CN)(C(C(CO)(C)O)O)=O	BLKWVMZNQNLKQR	[-112.34]	[['682_0', '55_0', '77_0', '9_0', '24_0']]
G3	C(CO)(CC(CO)(CN)O)=O	WQWXZYUDASUZDR	[-107.94999999999999]	[['684_0', '55_0', '77_0', '9_0', '24_0']]
G3	C(C)(C(C(CO)(CN)O)O)=O	VFWDSQGCHJHDQE	[-112.34]	[['686_0', '55_0', '77_0', '9_0', '24_0']]
G3	C(CO)(C(C(C)O)N)=O	CXFDMCGOFSDJFK	[-46.67]	[['698_0', '55_0', '84_0', '9_0', '28_0']]
G3	C(CN)(C(C(C)O)O)=O	PPFTYFJBDQDNLS	[-53.39]	[['700_0', '55_0', '84_0', '9_0', '28_0']]
G3	C(CC(CO)(CN)O)=O	BCDIGRSIKYETOL	[-44.36]	[['702_0', '55_0', '84_0', '9_0', '28_0']]
G3	C(CO)(C(C(CN)O)N)=O	UBYNXIGHTJSTMH	[5.969999999999997]	[['704_0', '55_0', '120_0', '9_0', '5_0']]
G3	C(CN)(C(C(CN)O)O)=O	VZZJVRSIHGEVPT	[-28.330000000000005]	[['706_0', '55_0', '120_0', '9_0', '5_0']]
G3	C(C(C(CN)(CO)O)N)=O	ASMJPAWXLLYEGB	[10.620000000000003]	[['708_0', '55_0', '120_0', '9_0', '5_0']]
G3	C(C(CC(C)(C(CO)O)O)=O)=O	BPDJZQNMULGAOC	[-71.41999999999999]	[['735_0', '57_0', '64_0', '14_0', '20_0']]
G3	C(CC(C(C)=O)O)(C(CO)O)=O	PWSOHNXEIARPMG	[-76.06]	[['737_0', '57_0', '64_0', '14_0', '20_0']]
G3	C(C(C)(CC(C(CO)O)=O)O)=O	GUIKSEWQILZROY	[-71.41999999999999]	[['739_0', '57_0', '64_0', '14_0', '20_0']]
G3	C(C(CC(CO)(CCO)O)=O)=O	LWYMQNJMGMCCFO	[-67.03]	[['750_0', '57_0', '71_0', '14_0', '22_0']]
G3	C(C(C(C(CCO)=O)O)O)(C)=O	CQANLFJYHMBDIH	[-76.06]	[['752_0', '57_0', '71_0', '14_0', '22_0']]
G3	C(C(C)(C(C(CCO)=O)O)O)=O	JTSJCBSBAPKSHV	[-71.41999999999999]	[['754_0', '57_0', '71_0', '14_0', '22_0']]
G3	C(CO)(C(CO)C(C(C)=O)O)=O	KNGCZEMXKNYSEB	[-69.34]	[['756_0', '57_0', '71_0', '14_0', '22_0']]
