Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(C(C(CN)O)O)(C(CO)O)=O	ZEUGDKYVUVLZTO	[-50.1]	[['579_0', '10_0', '41_0', '7_0']]
G3	C(C(C(CN)(CO)O)N)=O	ASMJPAWXLLYEGB	[-45.72]	[['591_0', '10_0', '47_0', '5_0']]
G3	C(CN)(C(C(CN)O)O)=O	VZZJVRSIHGEVPT	[-84.66999999999999]	[['593_0', '10_0', '47_0', '5_0']]
G3	C(CO)(C(C(CN)O)N)=O	UBYNXIGHTJSTMH	[-50.37]	[['595_0', '10_0', '47_0', '5_0']]
G3	C(C(C(CN)(C(CO)O)O)N)=O	LTJICWLEGLOXNN	[-29.49]	[['597_0', '10_0', '49_0', '7_0']]
G3	C(C(CO)O)(C(C(CN)O)N)=O	OHFDQMUPUZOXSD	[-34.14]	[['599_0', '10_0', '49_0', '7_0']]
G3	C(C(C(CNCC=O)O)N)=O	QJTNNTOOOXBQFZ	[-43.35]	[['601_0', '10_0', '51_0', '10_0']]
G3	C(C(C(CN)O)NCC=O)=O	YLEVJUSOCIAMDO	[-40.28]	[['603_0', '10_0', '51_0', '10_0']]
G3	C(C(C(C(CO)(CO)O)O)N)=O	IPEVWGCBOFEPDL	[-56.98]	[['605_0', '10_0', '71_0', '5_0']]
G3	C(C(CCO)(C(C=O)N)O)=O	ODILWJGXAOWKPR	[-50.16]	[['617_0', '10_0', '90_0', '7_0']]
G3	C(C(C(C(CCO)=O)O)N)=O	RBDNNFSBBBQPHT	[-54.81]	[['619_0', '10_0', '90_0', '7_0']]
G3	C(C(C(CO)C(CN)O)=O)=O	KAYFMIAIBMIIQD	[-82.38]	[['621_0', '10_0', '90_0', '7_0']]
G3	C(CC(C(C(C=O)N)O)O)=O	YBOLBHFYGABWMJ	[-80.38]	[['623_0', '10_0', '92_0', '7_0']]
G3	C(C(C(CC(C=O)O)O)N)=O	AHGCTZMUBPZLOK	[-80.38]	[['625_0', '10_0', '92_0', '7_0']]
G3	C(C(C(CN)O)C(C=O)O)=O	RWMSZEVIXBQAJL	[-80.38]	[['627_0', '10_0', '92_0', '7_0']]
G3	C(C(C(CC(CO)=O)O)N)=O	VNBYXOQOCGWZFJ	[-82.38000000000001]	[['629_0', '10_0', '94_0', '7_0']]
G3	C(CC(CO)(C(C=O)N)O)=O	WKIWQZKYQRMNFP	[-50.17]	[['631_0', '10_0', '94_0', '7_0']]
G3	C(C(C(CO)=O)C(CN)O)=O	DCWPTWSYZMWKIL	[-82.38000000000001]	[['633_0', '10_0', '94_0', '7_0']]
G3	C(CC(C(C(CN)O)O)=O)=O	VMCCARNNUOIRPT	[-101.94000000000001]	[['635_0', '10_0', '94_0', '7_0']]
G3	C(C(C(C(C(C)=O)O)O)N)=O	URYGCMBOMHUVKQ	[-59.2]	[['637_0', '10_0', '96_0', '7_0']]
G3	C(C(C(C)(C(C=O)O)O)N)=O	RFTGWPCIEOLYOI	[-54.56]	[['639_0', '10_0', '96_0', '7_0']]
G3	C(C(C(CC(CN)O)=O)O)=O	ZMEILYOCLSHQDN	[-146.07]	[['641_0', '10_0', '96_0', '7_0']]
G3	C(C(C(C(CN)O)O)N)=O	BZWJDVIAXBESMP	[-75.94]	[['653_0', '10_0', '104_0', '5_0']]
G3	C(C(C(C(C(CO)N)O)O)N)=O	YNGPNKGOVIJJPV	[-52.980000000000004]	[['655_0', '10_0', '106_0', '7_0']]
G3	C(C(CO)O)(C(CO)O)=O	WXYXERHRDKEISL	[-47.99]	[['658_0', '41_0', '7_0']]
G3	C(CNC(C(CO)=O)CO)=O	BLFFPJTYWVTAHQ	[-69.77]	[['661_0', '43_0', '5_0', '10_0']]
G3	C(C(CO)NCC(CO)=O)=O	RECPPMRZTCHEQB	[-69.77]	[['663_0', '43_0', '5_0', '10_0']]
G3	C(CO)(C(CO)N)=O	MTPLMYSUTMBRKU	[-75.83]	[['670_0', '47_0', '5_0']]
G3	C(C(CO)O)(C(CO)N)=O	YHKGTFSEJPIKDQ	[-32.03]	[['672_0', '49_0', '7_0']]
G3	C(C(CO)NCC(C=O)O)=O	DKKPLPKHWBBOFN	[-67.77]	[['691_0', '100_0', '5_0', '10_0']]
G3	C(C(C(C(C(CN)O)N)O)O)=O	GMTVWYIYSJHFTN	[-32.14]	[['695_0', '23_0', '10_0', '10_0']]
G3	C(C(C(C(CO)N)O)O)=O	YECZZWUIAXEARY	[-57.6]	[['697_0', '25_0', '10_0']]
G3	C(C(C(C(C(CN)O)O)O)O)=O	HDXVFGYNQCBFKD	[-48.099999999999994]	[['699_0', '31_0', '10_0']]
G3	C(C(C(C(C(CO)O)N)O)O)=O	RQRVMSIARGXSFL	[-41.37]	[['701_0', '33_0', '10_0']]
G3	C(C(C(CO)(CO)O)O)=O	AVGPOAXYRRIZMM	[-43.349999999999994]	[['705_0', '39_0', '5_0']]
G3	C(CO)(C(C(CO)O)O)=O	ZAQJHHRNXZUBTE	[-47.989999999999995]	[['707_0', '39_0', '5_0']]
G3	C(C(C(CO)(CN)O)O)=O	CMOZXEKFRDIDCA	[-61.69]	[['723_0', '47_0', '5_0']]
G3	C(CN)(C(C(CO)O)O)=O	ZGPHAZHLWWSPMV	[-66.33]	[['725_0', '47_0', '5_0']]
G3	C(CO)(C(C(CO)O)N)=O	HPQGIDPCWDOJIW	[-32.03]	[['727_0', '47_0', '5_0']]
G3	C(C(C(CN)(C(CO)O)O)O)=O	NVKBOABANWTAIG	[-45.46]	[['729_0', '49_0', '7_0']]
G3	C(C(CO)O)(C(C(CO)O)N)=O	GPXGXDDVGOODPV	[-15.8]	[['731_0', '49_0', '7_0']]
G3	C(C(C(CNCC=O)O)O)=O	YJHMQYUDHZBFML	[-59.309999999999995]	[['733_0', '51_0', '10_0']]
G3	C(C(C(CO)O)NCC=O)=O	TUTZJMYSGHJPQJ	[-21.939999999999998]	[['735_0', '51_0', '10_0']]
G3	C(C(CCO)(C(C=O)O)O)=O	FAGPJBHKKUOQAR	[-66.13]	[['749_0', '90_0', '7_0']]
G3	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	[-70.77]	[['751_0', '90_0', '7_0']]
G3	C(C(C(CO)C(CO)O)=O)=O	JOEMRRCMXVASPX	[-64.03999999999999]	[['753_0', '90_0', '7_0']]
G3	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	[-68.77]	[['755_0', '92_0', '7_0']]
G3	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY	[-68.77]	[['757_0', '92_0', '7_0']]
G3	C(C(C(CO)O)C(C=O)O)=O	HIPAGLNATSXMFT	[-62.04]	[['759_0', '92_0', '7_0']]
G3	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	[-70.77000000000001]	[['761_0', '94_0', '7_0']]
G3	C(CC(CO)(C(C=O)O)O)=O	IEHDXMKHICIRFU	[-66.13]	[['763_0', '94_0', '7_0']]
G3	C(C(C(CO)=O)C(CO)O)=O	SSUDYWNAIOLNKR	[-64.05000000000001]	[['765_0', '94_0', '7_0']]
