Generation	Smiles	Inchi	Energy Change	Reaction IDs
G2	C1(COC(CO)C(C1O)O)=O	OCLOLUFOLJIQDC	[-55.839999999999996]	[['230_0', '29_0']]
G2	C1(C(O)OC(CO)C(C1)O)=O	UHPMJDGOAZMIID	[-55.839999999999996]	[['232_0', '29_0']]
G2	C1(C(C(CO)OC(C1)O)O)=O	PVKLTCFYNBLGMN	[-55.839999999999996]	[['234_0', '29_0']]
G2	C1(C(C(O)OC(CO)C1)O)=O	IOFQXNNENHCUQL	[-55.839999999999996]	[['236_0', '29_0']]
G2	C1(C(CO)OC(C(C1)O)O)=O	NWAQREDMTHFVFF	[-55.839999999999996]	[['238_0', '29_0']]
G2	C1(CC(C(C(CO1)O)O)O)=O	HOHFQGCXQDHZJL	[-72.89]	[['240_0', '31_0']]
G2	C1(COCC(C(C1O)O)O)=O	DBLLDNNAYQFXMT	[-58.699999999999996]	[['242_0', '31_0']]
G2	C1(C(O)OCC(C(C1)O)O)=O	FDUCWCLOCIPWJT	[-58.699999999999996]	[['244_0', '31_0']]
G2	C1(C(C(COC(C1)O)O)O)=O	PATGLOACTPYBAI	[-58.699999999999996]	[['246_0', '31_0']]
G2	C1(C(C(O)OCC(C1)O)O)=O	KGUNYMYUWFWAAR	[-58.699999999999996]	[['248_0', '31_0']]
G2	C1(C(COC(C(C1)O)O)O)=O	YYOBYHDYKCPMFE	[-58.699999999999996]	[['250_0', '31_0']]
G2	C1(C(C(C(O)OCC1)O)O)=O	KRKZFVZQYDKETD	[-58.699999999999996]	[['252_0', '31_0']]
G2	C1(COC(C(C(C1)O)O)O)=O	QQYKOAFGQUCGEA	[-58.699999999999996]	[['254_0', '31_0']]
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	[11.77]	[['277_0', '4_0']]
G2	C(C1(CC(C(CO)O1)O)O)=O	XCOLHFJYVWHMEU	[-34.559999999999995]	[['282_0', '11_0']]
G2	C(CC1(C(C(CO1)O)O)O)=O	OJFNRRYMUBSATR	[-43.790000000000006]	[['285_0', '13_0']]
G2	C(C(C1(CC(CO1)O)O)O)=O	XSOCZPWENAPSDW	[-34.72]	[['287_0', '15_0']]
G2	C(C1C(CC(CO)(O1)O)O)=O	DNFROWGDJNTHSQ	[-34.559999999999995]	[['289_0', '21_0']]
G2	C(C1C(C(C(C)(O1)O)O)O)=O	DUPMVEXRXRIHES	[-48.03]	[['291_0', '23_0']]
G2	C(C(C1C(CC(O)O1)O)O)=O	DLPYFNDTPUTRMF	[-31.38]	[['294_0', '25_0']]
G2	C(C1(CC(C(CO1)O)O)O)=O	LBJWYRASHSNTEP	[-37.41]	[['300_0', '11_0']]
G2	C(C1C(C(CC(O1)O)O)O)=O	MRAMFUAQJIBLST	[-34.08]	[['305_0', '25_0']]
G3	C1(C(C(C(C1)O)O)O)=O	SLBWSONHNKBIMR	[-99.83]	[['322_0', '60_0', '17_0']]
G3	C1(C(C(C(CC1O)O)O)O)=O	DDAFIEJZOHGAHJ	[-132.13]	[['325_0', '93_0', '17_0']]
G3	C1(C(C(C(C1)O)(CO)O)O)=O	PMAODVYIDXXALG	[-132.6]	[['327_0', '99_0', '21_0']]
G3	C1(C(CC(CO)(C1O)O)O)=O	ZMGSZYMAJOOYKF	[-132.6]	[['329_0', '99_0', '21_0']]
G3	C1(C(C(C(CO)(C1)O)O)O)=O	UHQNRQMTZAQCBL	[-132.6]	[['331_0', '103_0', '23_0']]
G3	C1(C(C(C(C)(C1O)O)O)O)=O	QCSROUGOTJEQJK	[-146.07]	[['333_0', '103_0', '23_0']]
G3	C1(C(C(CC(C1O)O)O)O)=O	DNWNZFQXCIWUSQ	[-132.13]	[['335_0', '107_0', '25_0']]
G3	C1C(C(C(C(C=1)=O)O)O)O	UDGPTYYVDNKAPG	[-158.58]	[['365_0', '264_0', '21_0']]
G3	C(C(C)(C(C(CO)=O)O)O)=O	HCDKHGUYCIRFGC	[-32.41]	[['373_0', '48_0', '50_0', '6_0', '11_0']]
G3	C(C(CC(CO)(CO)O)=O)=O	GBYNVYGBOCCFCK	[-28.02]	[['375_0', '48_0', '50_0', '6_0', '11_0']]
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	[-37.05]	[['391_0', '48_0', '57_0', '6_0', '17_0']]
G3	C(CO)(C(C(CO)(C)O)O)=O	HFVQLJMYXMMRQM	[-94.00999999999999]	[['412_0', '48_0', '70_0', '6_0', '21_0']]
G3	C(CO)(CC(CO)(CO)O)=O	SUYWWIOIVQEMNS	[-89.62]	[['414_0', '48_0', '70_0', '6_0', '21_0']]
G3	C(C)(C(C(CO)(CO)O)O)=O	RBBKOZMUCUHIQM	[-94.00999999999999]	[['416_0', '48_0', '70_0', '6_0', '21_0']]
G3	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ	[-35.059999999999995]	[['424_0', '48_0', '77_0', '6_0', '25_0']]
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE	[-26.02]	[['426_0', '48_0', '77_0', '6_0', '25_0']]
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN	[-30.839999999999996]	[['447_0', '48_0', '77_0', '6_0', '25_0']]
G3	C(C(CC(C)(C(CO)O)O)=O)=O	BPDJZQNMULGAOC	[-71.41999999999999]	[['474_0', '50_0', '57_0', '11_0', '17_0']]
G3	C(CC(C(C)=O)O)(C(CO)O)=O	PWSOHNXEIARPMG	[-76.06]	[['476_0', '50_0', '57_0', '11_0', '17_0']]
G3	C(C(C)(CC(C(CO)O)=O)O)=O	GUIKSEWQILZROY	[-71.41999999999999]	[['478_0', '50_0', '57_0', '11_0', '17_0']]
G3	C(C(CC(CO)(CCO)O)=O)=O	LWYMQNJMGMCCFO	[-67.03]	[['489_0', '50_0', '64_0', '11_0', '19_0']]
G3	C(C(C(C(CCO)=O)O)O)(C)=O	CQANLFJYHMBDIH	[-76.06]	[['491_0', '50_0', '64_0', '11_0', '19_0']]
G3	C(C(C)(C(C(CCO)=O)O)O)=O	JTSJCBSBAPKSHV	[-71.41999999999999]	[['493_0', '50_0', '64_0', '11_0', '19_0']]
G3	C(CO)(C(CO)C(C(C)=O)O)=O	KNGCZEMXKNYSEB	[-69.34]	[['495_0', '50_0', '64_0', '11_0', '19_0']]
G3	C(C(C)(C(C(CO)=O)CO)O)=O	VPYMORJLJXJQFS	[-64.69]	[['497_0', '50_0', '64_0', '11_0', '19_0']]
G3	C(C(C(CO)=O)C(CO)(C)O)=O	LMMRWYGKCKPPMA	[-123.27000000000001]	[['545_0', '52_0', '70_0', '13_0', '21_0']]
G3	C(CC(C(C(CO)(C)O)O)=O)=O	JSXSXEUMAGNLEY	[-142.82999999999998]	[['547_0', '52_0', '70_0', '13_0', '21_0']]
G3	C(CO)(CC(CC(CO)=O)O)=O	BXIDKVOKEHHOPM	[-130.25]	[['549_0', '52_0', '70_0', '13_0', '21_0']]
G3	C(CC(CO)(CC(CO)=O)O)=O	RUNLLBDJYYNYBM	[-125.60999999999999]	[['551_0', '52_0', '70_0', '13_0', '21_0']]
G3	C(C)(C(C(CC(CO)=O)O)O)=O	OYBUHTPOGNLJMY	[-134.64]	[['553_0', '52_0', '70_0', '13_0', '21_0']]
G3	C(CC(CO)(C(C(C)=O)O)O)=O	PZLXLRJPTYMEMW	[-130.0]	[['555_0', '52_0', '70_0', '13_0', '21_0']]
G3	C(C(C(CC(CO)(C)O)=O)O)=O	ZRMBXIKASCPRFG	[-186.95]	[['571_0', '54_0', '70_0', '15_0', '21_0']]
G3	C(C(C(C)(CC(CO)=O)O)O)=O	GWUZMTCEZFZAML	[-130.0]	[['574_0', '54_0', '70_0', '15_0', '21_0']]
G3	C(C)(C(C(C(C(C)=O)O)O)O)=O	RMFHJNQCSIVIEA	[-139.03]	[['576_0', '54_0', '70_0', '15_0', '21_0']]
G3	C(C(C(C)(C(C(C)=O)O)O)O)=O	MUNUQZQBUPPELK	[-134.39]	[['578_0', '54_0', '70_0', '15_0', '21_0']]
G3	C(CO)(C(CO)C(C=O)O)=O	JWVOALOLIWYTMR	[-69.33]	[['594_0', '57_0', '64_0', '17_0', '19_0']]
G3	C(C(CO)O)(CCO)=O	IZYOBKKJVPRWAF	[-71.66999999999999]	[['604_0', '57_0', '60_0', '17_0', '17_0']]
G3	C(C(CO)O)(CC(CO)(C)O)=O	KGMAGSYXWBEQJC	[-133.01]	[['608_0', '57_0', '70_0', '17_0', '21_0']]
G3	C(CO)(CC(C)(C(CO)O)O)=O	FGEPGGGVGFHWCN	[-133.01]	[['610_0', '57_0', '70_0', '17_0', '21_0']]
G3	C(C)(C(C(C)(C(CO)O)O)O)=O	MJEDKJVEWJDYHU	[-137.4]	[['612_0', '57_0', '70_0', '17_0', '21_0']]
G3	C(C(CO)O)(CC(C)O)=O	GFFKZVUFWOOERJ	[-74.06]	[['614_0', '57_0', '77_0', '17_0', '25_0']]
G3	C(CC(C)(C(CO)O)O)=O	BUQSEVBRGIGBOC	[-69.41999999999999]	[['616_0', '57_0', '77_0', '17_0', '25_0']]
G3	C(CO)(C(C(C)O)C(C=O)O)=O	AOWGVLKQEATEAM	[-48.08999999999999]	[['620_0', '60_0', '77_0', '17_0', '25_0']]
G3	C(CC(C=O)O)(C(C(C)O)O)=O	VQYVRVGVXZZBBM	[-54.80999999999999]	[['622_0', '60_0', '77_0', '17_0', '25_0']]
G3	C(CC(C(CC(CO)=O)O)O)=O	RZMXAXYXCMZZKG	[-50.419999999999995]	[['624_0', '60_0', '77_0', '17_0', '25_0']]
G3	C(CC(CO)(CC(C=O)O)O)=O	RJZUVQIHALYHDY	[-45.779999999999994]	[['626_0', '60_0', '77_0', '17_0', '25_0']]
G3	C(CO)(C(CO)CO)=O	XZFDOIXMTIDWDO	[-64.94]	[['631_0', '60_0', '64_0', '17_0', '19_0']]
G3	C(C(CO)O)(C(CO)O)=O	WXYXERHRDKEISL	[-29.64]	[['640_0', '60_0', '80_0', '17_0', '4_0']]
G3	C(C(C=CC(C(CO)O)=O)O)=O	PECKTJPRIPKDII	[-82.44999999999999]	[['767_0', '60_0', '264_0', '17_0', '21_0']]
G3	C(C(C(CO)C(C)(CO)O)=O)=O	CXPPRUZKJNBMRP	[-123.26999999999998]	[['773_0', '62_0', '70_0', '19_0', '21_0']]
G3	C(CC(C(CCO)=O)O)(CO)=O	YYPVNCVLLSLFEF	[-130.25]	[['775_0', '62_0', '70_0', '19_0', '21_0']]
