Generation	Inchi	Smiles
G4	QRZQUAWHOKRZLJ-UHFFFAOYSA-N	C(C(C(CN)=O)(CO)CO)=O
G4	HNPQTZCHRMUBQN-UHFFFAOYSA-N	C(C(C(O)=O)NCC(CN)=O)(O)=O
G4	MFKDHIMCOWATDQ-UHFFFAOYSA-N	C(C(C(O)=O)NCC=O)(O)=O
G4	FQTRLYCBNHEHIN-UHFFFAOYSA-N	C(C(CN)(CN)O)O
G4	HWIFYHSMLVURAF-UHFFFAOYSA-N	C(CN)(CCNCCO)=O
G4	YQJCGRXJDJESML-UHFFFAOYSA-N	C(CN)(CCNCC(O)=O)=O
G4	UHLTZHHMZHKASI-UHFFFAOYSA-N	C(C(CN)=O)(C(CO)CO)=O
G4	KBKDATCIUHDNBM-UHFFFAOYSA-N	C(CN)(C(C(CN)=O)CO)=O
G4	ZMFNRPROKZYVLG-UHFFFAOYSA-N	C(CN)NC(CO)CO
G4	MMTNLAWXIPFQJG-UHFFFAOYSA-N	C(C(CO)(CO)NCCN)=O
G4	VZSBOYHULBLNEP-UHFFFAOYSA-N	C(C(O)=O)(CCNCCN)=O
G4	PEJTZZJLRKCVBP-UHFFFAOYSA-N	C(CNCCNCCN)=O
G4	KHLDJWUDRAOYPS-UHFFFAOYSA-N	C(CN)NCC(CO)(CO)O
G4	CQBKRMMECRYQNA-UHFFFAOYSA-N	C(CO)(CCNCCN)=O
G4	RPNUMPOLZDHAAY-UHFFFAOYSA-N	C(CN)NCCN
G4	QQOMJISNTCHGFY-UHFFFAOYSA-N	C(CCNC(CO)CO)=O
G4	XNYWDGIDUUMFAI-UHFFFAOYSA-N	C(CN)(CCNCCN)=O
G4	AIZJVUBKBFDLTJ-UHFFFAOYSA-N	C(C(CO)=O)(CNCCO)=O
G4	GHEJVLDIRJQPES-UHFFFAOYSA-N	C(CNCC(C(CO)=O)=O)(O)=O
G4	GUAGQYKXTJFTJG-UHFFFAOYSA-N	C(C(CO)(CCN)O)O
G4	ZZTSTKLZHIUOLQ-UHFFFAOYSA-N	C(CO)(CNC(CN)CN)=O
G4	YQPNEJKABYBKBU-UHFFFAOYSA-N	C(CO)NC(CN)CN
G4	RNJWXQRZTPKYCY-UHFFFAOYSA-N	C(CNC(CN)CN)(O)=O
G4	PZZICILSCNDOKK-UHFFFAOYSA-N	C(C(CN)N)N
G4	CWQFCMGTFLRBQC-UHFFFAOYSA-N	C(CNC(CN)CN)=O
G4	VIMYQTIGUCAPIU-UHFFFAOYSA-N	C(C(CO)(C(CN)(CN)O)O)O
G4	NLXHZMJIVQBDRV-UHFFFAOYSA-N	C(C(CO)(CN)N)O
G4	AWDXYMQWZFSNJC-UHFFFAOYSA-N	C(CC(CO)(CO)N)=O
G4	QLNMWLAGGLJIIX-UHFFFAOYSA-N	C(CNCCCO)(CN)=O
G4	ZDSXIILJCDDDQS-UHFFFAOYSA-N	C(CO)(CNCCCO)=O
G4	QFOJHDZMRDGOHB-UHFFFAOYSA-N	C(CNCCC(O)=O)(CN)=O
G4	AZKSVLZEVOIMMD-UHFFFAOYSA-N	C(CNCC(N)=C)(CN)=O
G4	WWVQSZLWKNUFIO-UHFFFAOYSA-N	C(CNCCCN)(CN)=O
G4	YTHBZYMPXJKBDN-UHFFFAOYSA-N	C(CCNCC(CO)=O)(O)=O
G4	KIZZZZLXVXAKON-UHFFFAOYSA-N	C(CO)(CNCC(N)=C)=O
G4	GYJIVNWIIIHRMN-UHFFFAOYSA-N	C(CO)(CNCCCN)=O
G4	CVZNHBOVZBZCCQ-UHFFFAOYSA-N	C(CNCCNCCO)=O
G4	SQWPOJGCCZMWIE-UHFFFAOYSA-N	C(CNCCNCC(O)=O)=O
G4	XAMJKZPFBVYWBJ-UHFFFAOYSA-N	C(CNCC(CO)(CO)N)=O
