Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL	Heteroatoms/Carbons
G4	RSCIOVXCOKTZAQ	C(C(C1CC(CO1)O)O)(O)=O	162.05282342	C6H10O5	6	10	5.0	-1.8251	-0.316	5	3	86.99	1.7309	5	0.2476480279955081	0.8333333333333334
G4	JXGGXFGOQYURHO	C(C(CC(N)=CCO)O)(O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.9735	-0.412	5	4	103.78	-1.5547	5	0.2052853005288732	0.8333333333333334
G4	BWWJYGRFHRSHBO	C(C(C(N)=C)O)(O)=O	117.042593084	C4H7NO3	4	7	3.0	-2.8889	-0.546	4	3	83.55	-2.0855	4	0.3062535395309693	1.0
G4	XPXXBMCLHANSOP	C(C(C=CN)O)(O)=O	117.042593084	C4H7NO3	4	7	3.0	-3.7098	-0.393	4	3	83.55	0.069733	4	0.3062535395309692	1.0
G4	AMWPAUGSGLTTHG	C1(C(C(CC(C1O)O)O)=O)=O	160.037173356	C6H8O5	6	8	5.0	-1.9211	-0.257	5	3	94.83	-3.2175	5	0.9740214341050188	0.8333333333333334
G4	FSGINKURWZSIHK	C(C(CO)O)=C(C(C=O)=O)N	159.053157768	C6H9NO4	6	9	4.0	-2.1624	-0.297	5	3	100.62	-3.3008	5	0.7427598743523021	0.8333333333333334
G4	ZGAWPUBLHOZZRK	C(C(CO)=O)(C(CO)O)=O	148.037173356	C5H8O5	5	8	5.0	-2.6408	0.315	5	3	94.83	-3.167	5	1.1717688462725964	1.0
G4	YMBCRDCIWCIATR	C(C(C(C)O)=O)(C(CO)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.2815	-0.063	5	3	94.83	-4.619	5	0.7908555540651285	0.8333333333333334
G4	DUEDDDYTTVKSHS	C(C(C(CO)(CO)O)=O)=O	148.037173356	C5H8O5	5	8	5.0	-2.8006	0.42	5	3	94.83	-3.2607	5	1.1717688462725964	1.0
G4	OWCKJYPMNQGBFZ	C(C(C(CO)(CN)O)=O)=O	147.053157768	C5H9NO4	5	9	4.0	-3.1984	0.344	5	3	100.62	-1.7421	5	1.2031971536887351	1.0
G4	SXOYAYZLODVKOY	C(C(C(C)(C(CO)O)O)=O)=O	162.05282342	C6H10O5	6	10	5.0	-2.4413	0.042	5	3	94.83	-0.14345	5	0.7908555540651288	0.8333333333333334
G4	PJMZKCOZUYMPLF	C(C(C(CO)(CCO)O)=O)=O	162.05282342	C6H10O5	6	10	5.0	-2.3462	0.15	5	3	94.83	-6.0745	5	0.7931204213073412	0.8333333333333334
G4	WVGSTMCUPLPHKO	C(CO)(C(C(CO)=O)O)=O	148.037173356	C5H8O5	5	8	5.0	-2.6408	0.315	5	3	94.83	1.3098	5	1.1717688462725964	1.0
G4	KSJUAZMUTOCPNR	C(CO)(C(C(CO)=O)N)=O	147.053157768	C5H9NO4	5	9	4.0	-3.0386	0.239	5	3	100.62	-1.4505	5	1.2031971536887356	1.0
G4	JSKXZLIQTOABTI	C(CO)(C(C(CN)=O)O)=O	147.053157768	C5H9NO4	5	9	4.0	-3.0386	0.239	5	3	100.62	1.3445	5	1.2031971536887351	1.0
G4	UXZSOAYTCMPTKU	C(CO)(C(C(CO)N)O)=O	149.068807832	C5H11NO4	5	11	4.0	-3.0074	0.29	5	4	103.78	-1.5683	5	1.3442800788619953	1.0
G4	XAEITTHXTQNINA	C(CO)(C(CCO)O)=O	134.0579088	C5H10O4	5	10	4.0	-1.5878	-0.033	4	3	77.76	-0.0021313	4	0.6553364821936963	0.8
G4	OOILVYWNILFUFQ	C(CC(C(CO)=O)O)(O)=O	148.037173356	C5H8O5	5	8	5.0	-1.9374	-0.015	5	3	94.83	2.5542	5	0.4943980255996528	1.0
G4	MSMKYRIQPSEUOS	C(CO)(C(CCO)N)=O	133.073893212	C5H11NO3	5	11	3.0	-1.9856	-0.109	4	3	83.55	-4.7772	4	0.6867647896098344	0.8
G4	MERBDGVVDHAOBV	C(CC(C(CO)=O)N)(O)=O	147.053157768	C5H9NO4	5	9	4.0	-4.062	-0.091	5	3	100.62	-2.8357	5	0.5258263330157914	1.0
G4	BTCSQDOXIYWEHY	C(C)(C(C(CO)N)O)=O	133.073893212	C5H11NO3	5	11	3.0	-2.0807	-0.217	4	3	83.55	-2.2491	4	0.6844999223676219	0.8
G4	GSSSSMSRIXVZBY	C(CO)(CC(CO)N)=O	133.073893212	C5H11NO3	5	11	3.0	-1.9856	-0.109	4	3	83.55	-6.2531	4	0.6867647896098346	0.8
G4	FRTKOPTWTJLHNO	C(C(CC(CO)=O)N)(O)=O	147.053157768	C5H9NO4	5	9	4.0	-4.062	-0.091	5	3	100.62	-14.728	5	0.5258263330157914	1.0
G4	QJYMWMDDBANNAM	C(C(C(C(C)=O)O)N)(O)=O	147.053157768	C5H9NO4	5	9	4.0	-4.1571	-0.199	5	3	100.62	-4.7995	5	0.5235614657735786	1.0
G4	HSYGZUNNVLXKSF	C(C)(C(CO)(C(C=O)O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.8391	-0.034	5	3	100.62	-5.7834	5	0.8222838614812673	0.8333333333333334
