Generation	Smiles	Inchi	Path
G4	C(C(C(C(C(O)=O)=O)O)O)=CC	SPTSHTNHKIYNET	"C(C(C(C(C(O)=O)=O)O)O)=CC
├── C(C(CO)=O)(O)=O
│   ├── C(C(CO)=O)=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   ├── C=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   └── O
└── C(C)=CC=O
    └── C(CC(C)O)=O
        ├── C(C)=O
        │   └── C(C(C)=O)(O)=O
        └── C(C)=O
            └── C(C(C)=O)(O)=O
"
G4	C(CC(C(C(C(O)=O)=O)O)O)=C	CGSUUBFQEYBUHN	"C(CC(C(C(C(O)=O)=O)O)O)=C
├── C(C(CO)=O)(O)=O
│   ├── C(C(CO)=O)=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   ├── C=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   └── O
└── C(CC=C)=O
    └── C(CC(C)O)=O
        ├── C(C)=O
        │   └── C(C(C)=O)(O)=O
        └── C(C)=O
            └── C(C(C)=O)(O)=O
"
G4	C(C(C=C)C(C(O)=O)(CO)O)=O	AWDGWTFUKQQJCS	"C(C(C=C)C(C(O)=O)(CO)O)=O
├── C(C(CO)=O)(O)=O
│   ├── C(C(CO)=O)=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   ├── C=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   └── O
└── C(CC=C)=O
    └── C(CC(C)O)=O
        ├── C(C)=O
        │   └── C(C(C)=O)(O)=O
        └── C(C)=O
            └── C(C(C)=O)(O)=O
"
G4	C(C(C=C)C(C(C(O)=O)O)O)=O	SJZRASXLILFQKA	"C(C(C=C)C(C(C(O)=O)O)O)=O
├── C(C(C=O)O)(O)=O
│   └── C(C(C)(C(C(C(O)=O)O)O)O)(O)=O
│       ├── C(C(C)(CC(C(O)=O)=O)O)(O)=O
│       │   ├── C(C(C)=O)(O)=O
│       │   └── C(C(C)=O)(O)=O
│       └── O
└── C(CC=C)=O
    └── C(CC(C)O)=O
        ├── C(C)=O
        │   └── C(C(C)=O)(O)=O
        └── C(C)=O
            └── C(C(C)=O)(O)=O
"
G4	C(CC(C(CO)C(C)O)O)=O	IJELXDASVZBMMQ	"C(CC(C(CO)C(C)O)O)=O
├── C(C(CO)C(C)O)=O
│   ├── C(CC(C)O)=O
│   │   ├── C(C)=O
│   │   │   └── C(C(C)=O)(O)=O
│   │   └── C(C)=O
│   │       └── C(C(C)=O)(O)=O
│   └── C=O
│       └── C(C(CO)O)(O)=O
│           ├── C(C(C)=O)(O)=O
│           └── O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(C(CO)C(CC=O)O)(O)=O	BYFVAUICPMKDDJ	"C(C(CO)C(CC=O)O)(O)=O
├── C(C(C=O)CO)(O)=O
│   ├── C(CC(O)=O)=O
│   │   ├── C(=O)=O
│   │   │   └── C(C(C)=O)(O)=O
│   │   └── C(C)=O
│   │       └── C(C(C)=O)(O)=O
│   └── C=O
│       └── C(C(CO)O)(O)=O
│           ├── C(C(C)=O)(O)=O
│           └── O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(CC(C(C(CO)O)=O)O)=O	ZJCIIXYSVSASQO	"C(CC(C(C(CO)O)=O)O)=O
├── C(C(C(CO)O)=O)=O
│   ├── C(C(CO)=O)=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   └── C=O
│       └── C(C(CO)O)(O)=O
│           ├── C(C(C)=O)(O)=O
│           └── O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ	"C(C(C(CO)O)(CC=O)O)=O
├── C(C(C(CO)O)=O)=O
│   ├── C(C(CO)=O)=O
│   │   └── C(C(CO)O)(O)=O
│   │       ├── C(C(C)=O)(O)=O
│   │       └── O
│   └── C=O
│       └── C(C(CO)O)(O)=O
│           ├── C(C(C)=O)(O)=O
│           └── O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(CC(CC(CC=O)O)O)(O)=O	ZRWVYMYNRQBSNY	"C(CC(CC(CC=O)O)O)(O)=O
├── C(C)=O
│   └── C(C(C)=O)(O)=O
└── C(CC(CC=O)O)(O)=O
    ├── C(C)=O
    │   └── C(C(C)=O)(O)=O
    └── C(CC(O)=O)=O
        ├── C(=O)=O
        │   └── C(C(C)=O)(O)=O
        └── C(C)=O
            └── C(C(C)=O)(O)=O
"
G4	C(C(C(CC=O)O)C(C)O)(O)=O	LYOZQSQTEXUSOK	"C(C(C(CC=O)O)C(C)O)(O)=O
├── C(C(C=O)C(C)O)(O)=O
│   ├── C(C)=O
│   │   └── C(C(C)=O)(O)=O
│   └── C(CC(O)=O)=O
│       ├── C(=O)=O
│       │   └── C(C(C)=O)(O)=O
│       └── C(C)=O
│           └── C(C(C)=O)(O)=O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G4	C(CC(CC(C(CO)=O)O)O)=O	SOGAVCGXUDYGJE	"C(CC(CC(C(CO)=O)O)O)=O
├── C(C)=O
│   └── C(C(C)=O)(O)=O
└── C(CC(C(CO)=O)O)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── C(C)=O
        └── C(C(C)=O)(O)=O
"
G4	C(CC(C(CO)(CC=O)O)O)=O	AKPFQQOYLJSYAD	"C(CC(C(CO)(CC=O)O)O)=O
├── C(C)=O
│   └── C(C(C)=O)(O)=O
└── C(CC(C(CO)=O)O)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── C(C)=O
        └── C(C(C)=O)(O)=O
"
G4	C(CC(C(C(C(C)O)O)=O)O)=O	CERFZCXKHSEBOU	"C(CC(C(C(C(C)O)O)=O)O)=O
├── C(C)=O
│   └── C(C(C)=O)(O)=O
└── C(CC(C(CO)=O)O)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── C(C)=O
        └── C(C(C)=O)(O)=O
"
