Generation	Smiles	Inchi	Path
G2	C(CN)(C(CC(CO)=O)O)=O	FQEIXDZDGYVPNN	"C(CN)(C(CC(CO)=O)O)=O
├── C(C(C(CC(CO)=O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(CC(C(C=O)O)O)N)=O	VPDIKTZDHYWIDA	"C(C(CC(C(C=O)O)O)N)=O
├── C(C(C(CC(CO)=O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C)(C(C(C(CN)=O)O)O)=O	SQOIZOFSPPKOGH	"C(C)(C(C(C(CN)=O)O)O)=O
├── C(C(C(C(C(C)=O)O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(C(C=O)O)O)(C(C)N)=O	OXDBNSYDHCFGAE	"C(C(C(C=O)O)O)(C(C)N)=O
├── C(C(C(C(C(C)=O)O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(CC(C(C(CN)=O)O)O)=O	RWAJAMVSHPQTTE	"C(CC(C(C(CN)=O)O)O)=O
├── C(CC(C(C(C=O)O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(CN)(C(C(C(CO)O)O)N)=O	YHSJBTWEGHPLNL	"C(CN)(C(C(C(CO)O)O)N)=O
├── C(C(C(C(C(CO)O)O)N)O)=O
│   ├── C(C(C(C(C(CO)O)O)O)O)=O
│   └── N
└── N
"
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	"C(C(C(CO)O)O)O
├── C(C(C(C(C(CO)O)O)O)O)=O
├── C(C(C(CO)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── O
"
G2	C(CO)(CC(C(CO)O)O)=O	OXFWZSUJNURRMW	"C(CO)(CC(C(CO)O)O)=O
├── C(C(C(C(C(CO)O)O)O)O)=O
├── C(C(CC(C(CO)O)O)=O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── O
"
G2	C(C(C(CO)O)O)(CCO)=O	MSERTCQRMJDWLM	"C(C(C(CO)O)O)(CCO)=O
├── C(C(C(C(C(CO)O)O)O)O)=O
├── C(CC(C(C(CO)O)O)=O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── O
"
G2	C(C(CO)O)(CC(CO)O)=O	ZFKOVTBOKTVFNN	"C(C(CO)O)(CC(CO)O)=O
├── C(C(C(C(C(CO)O)O)O)O)=O
├── C(C(C(CC(CO)O)=O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── O
"
