Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G5	C1(C(C(C)(C(C1(C)O)O)O)O)=O	UVZUGPKPEYVZFZ	447.098	C7H12O5	176.068475	-1.8108	-0.154	5	4	97.99	2.7602
G5	C(C1C(C(CC1(CO)O)O)=O)=O	IALRDGUFHLCKEQ	22.8156	C7H10O5	174.052825	-2.201	-0.204	5	3	94.83	-4.1473
G5	C1(CC(CO)(CC1(C)O)O)=O	ONHGLIFCSLVQBL	404.565	C7H12O4	160.07356	-1.0333	-0.445	4	3	77.76	-0.6144
G5	C1(C(C(C)(C(C)(C1)O)O)O)=O	LZUWGYKEXIBCAO	411.094	C7H12O4	160.07356	-0.9587	-0.553	4	3	77.76	4.1355
G5	C1(CC(C)(C(C1(C)O)O)O)=O	SQFHUKQKIAMYFU	72.6987	C7H12O4	160.07356	-0.9587	-0.553	4	3	77.76	3.2914
G5	C1(C(C(CC(C)(C1)O)O)O)=O	GSAJAVYYXHIGSZ	442.095	C7H12O4	160.07356	-0.9147	-0.714	4	3	77.76	2.348
G5	C1(C(C(C)(CC(C1)O)O)O)=O	VYYXTCGDOJOUGD	471.933	C7H12O4	160.07356	-0.9147	-0.714	4	3	77.76	3.8702
G5	C1(CC(CC(CO)(C1)O)O)=O	ARMBNRJEKAAUGD	25.622	C7H12O4	160.07356	-0.9893	-0.606	4	3	77.76	-2.1095
G5	C1(CC(C)(C(C(C1)O)O)O)=O	RZRUIUWCYSPPHW	928.606	C7H12O4	160.07356	-0.9147	-0.714	4	3	77.76	3.0089
G5	C1(C(C(C=C)(C(C1)O)O)O)=O	RMYYBLXDRVDZCI	84.5968	C7H10O4	158.05791	-0.9878	-0.653	4	3	77.76	-2.6777
G5	C(CO)(C1C(C=CC1O)O)=O	BJXAQZGYSJFDOB	8.33635	C7H10O4	158.05791	-1.5256	-0.429	4	3	77.76	0.89439
G5	C1(CC(C=CC(C1O)O)O)=O	UFTLTWJOKLXULD	38.3065	C7H10O4	158.05791	-1.1461	-0.647	4	3	77.76	1.5823
G5	C(C1C(C(C=O)C(C1O)O)O)=O	ZSMZKAQLWLFJMO	25.1513	C7H10O5	174.052825	-2.5857	-0.419	5	3	94.83	-3.1309
G5	C1(C(CC(C1C(C)O)O)O)=O	CLIRMIOVTZRNDH	358.624	C7H12O4	160.07356	-1.0007	-0.765	4	3	77.76	0.17835
G5	C(C1C(C(C)(CC1O)O)O)=O	ANBJXCJTTPSSDK	29.5727	C7H12O4	160.07356	-1.418	-0.66	4	3	77.76	0.28032
G5	C(C1C(CC(C1(C)O)O)O)=O	FBOGRAJMPONRME	355.62	C7H12O4	160.07356	-1.418	-0.66	4	3	77.76	0.0036387
G5	C1(C(CC(CC(C1)O)O)O)=O	FXRBLRVRGRFKSK	26.5021	C7H12O4	160.07356	-0.8707	-0.875	4	3	77.76	1.6618
G5	C(C1C(C(C(CC1O)O)O)O)=O	IGKANORQIPLGIK	446.205	C7H12O5	176.068475	-2.2261	-0.422	5	4	97.99	-2.4079
G5	C1(C(C(CC(CC1O)O)O)O)=O	AWPGDHFIEZGHAP	34.73	C7H12O5	176.068475	-1.7228	-0.476	5	4	97.99	1.0018
G5	C(C1C(CC(C1(CO)O)O)O)=O	YNVCAVVWIGVFIQ	52.5862	C7H12O5	176.068475	-2.3447	-0.153	5	4	97.99	-2.1049
G5	C(C1C(C(CO)(CC1O)O)O)=O	XLTABIJSJNUACS	53.4416	C7H12O5	176.068475	-2.3447	-0.153	5	4	97.99	-5.0778
G5	C1(CC(CC1(CO)O)O)=O	RJCFMBBIOTUYKM	50.7455	C6H10O4	146.05791	-1.3313	-0.336	4	3	77.76	-1.0012
G5	C1(C(C(CC1(C)O)O)O)=O	SVEAOOMTCZYAAS	383.612	C6H10O4	146.05791	-1.2567	-0.444	4	3	77.76	2.4856
G5	C1C(CC(C(C(C=1)=O)O)O)O	SCVSIRLGZQLYJC	59.3955	C7H10O4	158.05791	-1.1461	-0.647	4	3	77.76	1.6079
G5	C(C1C(C=CC1(CO)O)O)=O	LXEIKOLRFVLZPW	19.6276	C7H10O4	158.05791	-1.768	-0.324	4	3	77.76	-2.3842
G5	C(C1C(C(CC(C1O)O)O)O)=O	QAQQKSWNAGGTNF	36.5895	C7H12O5	176.068475	-2.2261	-0.422	5	4	97.99	-2.4416
G5	C1(CC(CC(C1(CO)O)O)O)=O	JZIHBICLKUFNKN	41.8786	C7H12O5	176.068475	-1.8414	-0.207	5	4	97.99	1.7367
G5	C(C1C(CO)(C(CO1)O)O)=O	STXOOLDAVRPXKW	103.933	C6H10O5	162.052825	-2.6012	0.119	5	3	86.99	-3.7374
G5	C(C1C(O)OCC1(CO)O)=O	YQJYNRAYEJWUKI	8.90311	C6H10O5	162.052825	-2.155	0.124	5	3	86.99	-2.3347
G5	C1(CC(CC(C(C1O)=O)O)O)=O	FRICUIRBMKPMCF	55.3326	C7H10O5	174.052825	-1.5791	-0.527	5	3	94.83	1.8345
G5	C(C1C(C(C(C1O)=O)(C)O)O)=O	AAEOGWCPOQGRHV	51.7298	C7H10O5	174.052825	-2.1264	-0.312	5	3	94.83	0.034894
G5	C1(CC(C(C(CC1O)O)=O)O)=O	QBZFMGZUESFICX	53.8825	C7H10O5	174.052825	-1.5791	-0.527	5	3	94.83	1.5272
G5	C(C1(C(CC(C(C1)=O)O)O)O)=O	HLHDYXQIXJLQBU	466.831	C7H10O5	174.052825	-2.0537	-0.422	5	3	94.83	-1.8109
G5	C1(C(C(C)(C(CC1O)O)O)O)=O	XFOLTJKJBXCAAA	1541.28	C7H12O5	176.068475	-1.7668	-0.315	5	4	97.99	3.1442
G5	C1(C(CC(C(CO)(C1)O)O)O)=O	ILPOVCWWEKNMTA	452.055	C7H12O5	176.068475	-1.8414	-0.207	5	4	97.99	-1.7028
G5	C1(C(C(C(C)(CC1O)O)O)O)=O	YYUXGDWGLNQZBK	442.459	C7H12O5	176.068475	-1.7668	-0.315	5	4	97.99	3.5133
G5	C1(C(C(CO)C(C(C1)O)O)O)=O	JJJQYGRRFAJOBK	528.53	C7H12O5	176.068475	-1.8701	-0.258	5	4	97.99	1.0328
G5	C1(C(CC(C(C1)O)O)O)=O	LWOYDYYYCSQTAB	431.407	C6H10O4	146.05791	-1.2127	-0.605	4	3	77.76	1.3314
G5	C1(CC(C(C(C1O)=O)O)O)=O	AHGKUKXHBMZGKI	989.117	C6H8O5	160.037175	-1.9211	-0.257	5	3	94.83	1.4981
G5	C1(C(C(C(C(C1)=O)O)O)O)=O	MYLPFPJLGDHYAZ	544.707	C6H8O5	160.037175	-1.9211	-0.257	5	3	94.83	-4.5727
G5	C1(C(C(C(C1CO)=O)O)O)=O	NPFBPSJJHSFNGS	41.7839	C6H8O5	160.037175	-2.0684	-0.039	5	3	94.83	0.6345
G5	C1(C(C(C(C(CC1)O)=O)O)O)=O	JZWPGNQDCFBQLZ	724.495	C7H10O5	174.052825	-1.5791	-0.527	5	3	94.83	0.12874
G5	C(C1(CCC(C(C1O)=O)O)O)=O	ZBJXRYNJQDBSEC	509.067	C7H10O5	174.052825	-2.0537	-0.422	5	3	94.83	-2.9535
G5	C(C1C(CO)C(C(C1O)=O)O)=O	OELYONNTVXDHAE	28.1255	C7H10O5	174.052825	-2.2297	-0.255	5	3	94.83	-2.398
G5	C1(C(C(C(C=CC1O)O)O)O)=O	RAJULEAOVSJKFQ	87.4778	C7H10O5	174.052825	-1.9982	-0.248	5	4	97.99	0.6465
G5	C1(C(CC(C(C1CO)O)O)O)=O	XEJWUQKGDPYITA	490.071	C7H12O5	176.068475	-1.8701	-0.258	5	4	97.99	0.72595
G5	C1(C(C(C(C1CO)O)O)=O)=O	AZBTWCGQICTDMR	58.7795	C6H8O5	160.037175	-2.0684	-0.039	5	3	94.83	-3.931
G5	C1(C(O)OCC(C)(C1O)O)=O	HVEQUVFYUNIYPA	412.499	C6H10O5	162.052825	-1.5771	-0.038	5	3	86.99	2.8887
G5	C1(COCC(CO)(C1O)O)=O	CYNINIWMZHTZDN	99.8535	C6H10O5	162.052825	-2.1533	0.283	5	3	86.99	-0.27152
G5	C1(C(CC(C)(C1O)O)O)=O	IIENLUIGIWILII	415.081	C6H10O4	146.05791	-1.2567	-0.444	4	3	77.76	3.48
G5	C1(C(C(CCC1O)O)O)=O	PGEMDPFATWKLOT	79.623	C6H10O4	146.05791	-1.2127	-0.605	4	3	77.76	-1.6133
G5	C(C1(C(C(C(C1)O)O)=O)O)=O	CANPBRGOZWYEQG	73.7037	C6H8O5	160.037175	-2.3957	-0.152	5	3	94.83	-2.0437
G5	C1(C(CO)(CC(C1CO)O)O)=O	KRMXNQMPSMXLDA	48.8896	C7H12O5	176.068475	-1.9887	0.011	5	4	97.99	-1.7807
G5	C1(CC(CO)(C(C1CO)O)O)=O	ZRXLOPDXNDEASU	41.8618	C7H12O5	176.068475	-1.9887	0.011	5	4	97.99	-1.9722
