Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL
G2	C1(COC(C(C(C1)O)O)O)=O	QQYKOAFGQUCGEA	162.05282342	C6H10O5	6	10	5	-1.5331	-0.199	5	3	86.99	1.906	5	0.6603098917028392
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	120.042258736	C4H8O4	4	8	4	-1.5087	-0.007	4	3	69.92	-3.7555	4	0.9080774686863653
G2	C(C1(CC(C(CO)O1)O)O)=O	XCOLHFJYVWHMEU	162.05282342	C6H10O5	6	10	5	-2.1333	-0.232	5	3	86.99	-4.1162	5	0.6672129828347552
G2	C(CC1(C(C(CO1)O)O)O)=O	OJFNRRYMUBSATR	162.05282342	C6H10O5	6	10	5	-1.929	-0.232	5	3	86.99	-4.8683	5	0.6672129828347552
G2	C(C(C1(CC(CO1)O)O)O)=O	XSOCZPWENAPSDW	162.05282342	C6H10O5	6	10	5	-2.0987	-0.232	5	3	86.99	-1.1589	5	0.6672129828347552
G2	C(C1C(CC(CO)(O1)O)O)=O	DNFROWGDJNTHSQ	162.05282342	C6H10O5	6	10	5	-2.1333	-0.232	5	3	86.99	-6.0204	5	0.6672129828347552
G2	C(C1C(C(C(C)(O1)O)O)O)=O	DUPMVEXRXRIHES	162.05282342	C6H10O5	6	10	5	-2.0587	-0.34	5	3	86.99	-3.0074	5	0.6649481155925424
G2	C(C(C1C(CC(O)O1)O)O)=O	DLPYFNDTPUTRMF	162.05282342	C6H10O5	6	10	5	-2.0383	-0.363	5	3	86.99	-3.1375	5	0.6683996611585005
G2	C(C1(CC(C(CO1)O)O)O)=O	LBJWYRASHSNTEP	162.05282342	C6H10O5	6	10	5	-2.0414	-0.232	5	3	86.99	-5.9432	5	0.6637614372687971
G2	C(C1C(C(CC(O1)O)O)O)=O	MRAMFUAQJIBLST	162.05282342	C6H10O5	6	10	5	-1.981	-0.363	5	3	86.99	-1.8694	5	0.6649481155925424
G3	C1(C(C(C(C1)O)O)O)=O	SLBWSONHNKBIMR	132.042258736	C5H8O4	5	8	4	-1.5547	-0.335	4	3	77.76	1.5676	4	0.8396890405573318
G3	C1(C(C(C(CC1O)O)O)O)=O	DDAFIEJZOHGAHJ	162.05282342	C6H10O5	6	10	5	-2.0648	-0.206	5	4	97.99	1.1134	5	1.1151043592782783
G3	C1(C(C(C(C1)O)(CO)O)O)=O	PMAODVYIDXXALG	162.05282342	C6H10O5	6	10	5	-2.1834	0.063	5	4	97.99	1.5117	5	1.117369226520491
G3	C1(C(CC(CO)(C1O)O)O)=O	ZMGSZYMAJOOYKF	162.05282342	C6H10O5	6	10	5	-2.1834	0.063	5	4	97.99	-1.9174	5	1.117369226520491
G3	C1(C(C(C(CO)(C1)O)O)O)=O	UHQNRQMTZAQCBL	162.05282342	C6H10O5	6	10	5	-2.1834	0.063	5	4	97.99	-1.6374	5	1.117369226520491
G3	C1(C(C(C(C)(C1O)O)O)O)=O	QCSROUGOTJEQJK	162.05282342	C6H10O5	6	10	5	-2.1088	-0.045	5	4	97.99	2.6872	5	1.1151043592782783
G3	C1(C(C(CC(C1O)O)O)O)=O	DNWNZFQXCIWUSQ	162.05282342	C6H10O5	6	10	5	-2.0648	-0.206	5	4	97.99	0.69015	5	1.1151043592782783
G3	C1C(C(C(C(C=1)=O)O)O)O	UDGPTYYVDNKAPG	144.042258736	C6H8O4	6	8	4	-1.4881	-0.377	4	3	77.76	1.3477	4	0.6370576270545953
G3	C(C(C)(C(C(CO)=O)O)O)=O	HCDKHGUYCIRFGC	162.05282342	C6H10O5	6	10	5	-2.4413	0.042	5	3	94.83	-0.52167	5	0.7908555540651285
G3	C(C(CC(CO)(CO)O)=O)=O	GBYNVYGBOCCFCK	162.05282342	C6H10O5	6	10	5	-2.3462	0.15	5	3	94.83	-7.593	5	0.7931204213073412
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	148.037173356	C5H8O5	5	8	5	-2.8219	0.151	5	3	94.83	-1.1285	5	1.1729555245963417
G3	C(CO)(C(C(CO)(C)O)O)=O	HFVQLJMYXMMRQM	164.068473484	C6H12O5	6	12	5	-2.229	0.257	5	4	97.99	-0.31167	5	0.9307518009146432
G3	C(CO)(CC(CO)(CO)O)=O	SUYWWIOIVQEMNS	164.068473484	C6H12O5	6	12	5	-2.1339	0.365	5	4	97.99	-3.4522	5	0.9330166681568554
G3	C(C)(C(C(CO)(CO)O)O)=O	RBBKOZMUCUHIQM	164.068473484	C6H12O5	6	12	5	-2.229	0.257	5	4	97.99	-0.70208	5	0.9307518009146427
G3	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ	134.0579088	C5H10O4	5	10	4	-1.6829	-0.141	4	3	77.76	0.76382	4	0.6530716149514837
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE	134.0579088	C5H10O4	5	10	4	-1.7476	0.072	4	3	77.76	-7.1366	4	0.6553364821936964
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN	134.0579088	C5H10O4	5	10	4	-1.7689	-0.197	4	3	77.76	-2.4886	4	0.6565231605174416
G3	C(C(CC(C)(C(CO)O)O)=O)=O	BPDJZQNMULGAOC	176.068473484	C7H12O5	7	12	5	-1.9869	-0.228	5	3	94.83	-0.68604	5	0.41220712909987334
G3	C(CC(C(C)=O)O)(C(CO)O)=O	PWSOHNXEIARPMG	176.068473484	C7H12O5	7	12	5	-1.8271	-0.333	5	3	94.83	2.1133	5	0.41220712909987334
G3	C(C(C)(CC(C(CO)O)=O)O)=O	GUIKSEWQILZROY	176.068473484	C7H12O5	7	12	5	-1.9869	-0.228	5	3	94.83	-2.6471	5	0.41220712909987356
G3	C(C(CC(CO)(CCO)O)=O)=O	LWYMQNJMGMCCFO	176.068473484	C7H12O5	7	12	5	-1.8918	-0.12	5	3	94.83	-7.953	5	0.41447199634208604
G3	C(C(C(C(CCO)=O)O)O)(C)=O	CQANLFJYHMBDIH	176.068473484	C7H12O5	7	12	5	-1.8271	-0.333	5	3	94.83	-0.67835	5	0.41220712909987356
G3	C(C(C)(C(C(CCO)=O)O)O)=O	JTSJCBSBAPKSHV	176.068473484	C7H12O5	7	12	5	-1.9869	-0.228	5	3	94.83	-2.9235	5	0.41220712909987334
G3	C(CO)(C(CO)C(C(C)=O)O)=O	KNGCZEMXKNYSEB	176.068473484	C7H12O5	7	12	5	-1.9681	-0.115	5	3	94.83	1.4044	5	0.5178956673084517
G3	C(C(C)(C(C(CO)=O)CO)O)=O	VPYMORJLJXJQFS	176.068473484	C7H12O5	7	12	5	-2.1279	-0.01	5	3	94.83	-1.5527	5	0.5178956673084515
G3	C(C(C(CO)=O)C(CO)(C)O)=O	LMMRWYGKCKPPMA	176.068473484	C7H12O5	7	12	5	-2.1279	-0.01	5	3	94.83	-3.7295	5	0.5178956673084517
G3	C(CC(C(C(CO)(C)O)O)=O)=O	JSXSXEUMAGNLEY	176.068473484	C7H12O5	7	12	5	-1.9869	-0.228	5	3	94.83	-3.1534	5	0.41220712909987356
G3	C(CO)(CC(CC(CO)=O)O)=O	BXIDKVOKEHHOPM	176.068473484	C7H12O5	7	12	5	-1.732	-0.225	5	3	94.83	-1.6454	5	0.41447199634208604
G3	C(CC(CO)(CC(CO)=O)O)=O	RUNLLBDJYYNYBM	176.068473484	C7H12O5	7	12	5	-1.8918	-0.12	5	3	94.83	-4.1522	5	0.41447199634208604
G3	C(C)(C(C(CC(CO)=O)O)O)=O	OYBUHTPOGNLJMY	176.068473484	C7H12O5	7	12	5	-1.8271	-0.333	5	3	94.83	-0.59852	5	0.41220712909987334
G3	C(CC(CO)(C(C(C)=O)O)O)=O	PZLXLRJPTYMEMW	176.068473484	C7H12O5	7	12	5	-1.9869	-0.228	5	3	94.83	-4.0248	5	0.41220712909987334
G3	C(C(C(CC(CO)(C)O)=O)O)=O	ZRMBXIKASCPRFG	176.068473484	C7H12O5	7	12	5	-1.9869	-0.228	5	3	94.83	-6.7534	5	0.41220712909987356
G3	C(C(C(C)(CC(CO)=O)O)O)=O	GWUZMTCEZFZAML	176.068473484	C7H12O5	7	12	5	-1.9869	-0.228	5	3	94.83	-2.0049	5	0.41220712909987356
G3	C(C)(C(C(C(C(C)=O)O)O)O)=O	RMFHJNQCSIVIEA	176.068473484	C7H12O5	7	12	5	-1.9222	-0.441	5	3	94.83	0.80154	5	0.4099422618576607
